action_id,decision_id,depot_id,action_type,control_state,target_device_interface,dispatched_at,ack_latency_ms,execution_result
ACT-00021,DEC-00028,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-24 04:00:35,156,SUCCESS_ACTUATION_CONFIRMED
ACT-00022,DEC-00030,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-24 10:00:28,162,SUCCESS_ACTUATION_CONFIRMED
ACT-00023,DEC-00031,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-06-25 02:00:21,115,SUCCESS_ACTUATION_CONFIRMED
ACT-00024,DEC-00033,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-06-26 12:00:46,130,SUCCESS_ACTUATION_CONFIRMED
ACT-00025,DEC-00034,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-26 16:00:23,163,SUCCESS_ACTUATION_CONFIRMED
ACT-00026,DEC-00036,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-27 00:00:35,202,SUCCESS_ACTUATION_CONFIRMED
ACT-00027,DEC-00037,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-06-27 14:00:24,118,SUCCESS_ACTUATION_CONFIRMED
ACT-00028,DEC-00038,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-06-27 20:00:27,90,SUCCESS_ACTUATION_CONFIRMED
ACT-00029,DEC-00039,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-06-27 22:00:27,185,SUCCESS_ACTUATION_CONFIRMED
ACT-00030,DEC-00040,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-06-28 10:00:28,120,SUCCESS_ACTUATION_CONFIRMED
ACT-00031,DEC-00041,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-28 14:00:32,150,SUCCESS_ACTUATION_CONFIRMED
ACT-00032,DEC-00045,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-06-30 07:00:20,99,SUCCESS_ACTUATION_CONFIRMED
ACT-00033,DEC-00046,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-06-30 18:00:35,94,SUCCESS_ACTUATION_CONFIRMED
ACT-00034,DEC-00047,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-01 10:00:45,115,SUCCESS_ACTUATION_CONFIRMED
ACT-00035,DEC-00050,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-02 07:00:40,190,SUCCESS_ACTUATION_CONFIRMED
ACT-00036,DEC-00053,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-07-02 19:00:44,136,SUCCESS_ACTUATION_CONFIRMED
ACT-00037,DEC-00054,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-03 01:00:43,187,SUCCESS_ACTUATION_CONFIRMED
ACT-00038,DEC-00055,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-07-03 06:00:35,203,SUCCESS_ACTUATION_CONFIRMED
ACT-00039,DEC-00056,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-03 14:00:48,199,SUCCESS_ACTUATION_CONFIRMED
ACT-00040,DEC-00059,nairobi,DIVERT_TO_AUXILIARY_BAY,PARTIAL,Terminal Loading Actuator (PS10),2026-07-04 03:00:24,155,SUCCESS_ACTUATION_CONFIRMED
ACT-00041,DEC-00061,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-07-04 10:00:43,130,SUCCESS_ACTUATION_CONFIRMED
ACT-00042,DEC-00062,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-07-04 14:00:25,100,SUCCESS_ACTUATION_CONFIRMED
ACT-00043,DEC-00064,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-04 21:00:40,166,SUCCESS_ACTUATION_CONFIRMED
ACT-00044,DEC-00067,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-05 18:00:32,210,SUCCESS_ACTUATION_CONFIRMED
ACT-00045,DEC-00068,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-07-05 23:00:41,170,SUCCESS_ACTUATION_CONFIRMED
ACT-00046,DEC-00069,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-07-06 02:00:38,159,SUCCESS_ACTUATION_CONFIRMED
ACT-00047,DEC-00070,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-06 11:00:44,151,SUCCESS_ACTUATION_CONFIRMED
ACT-00048,DEC-00071,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-07 02:00:44,97,SUCCESS_ACTUATION_CONFIRMED
ACT-00049,DEC-00072,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-07-07 04:00:18,192,SUCCESS_ACTUATION_CONFIRMED
ACT-00050,DEC-00074,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (KOT-PS1),2026-07-08 12:00:28,146,SUCCESS_ACTUATION_CONFIRMED
ACT-00051,DEC-00075,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-09 01:00:45,123,SUCCESS_ACTUATION_CONFIRMED
ACT-00052,DEC-00077,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-07-09 19:00:18,108,SUCCESS_ACTUATION_CONFIRMED
ACT-00053,DEC-00078,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-10 01:00:31,112,SUCCESS_ACTUATION_CONFIRMED
ACT-00054,DEC-00079,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-10 04:00:44,180,SUCCESS_ACTUATION_CONFIRMED
ACT-00055,DEC-00081,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-07-10 21:00:33,106,SUCCESS_ACTUATION_CONFIRMED
ACT-00056,DEC-00083,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (PS27),2026-07-11 09:00:46,105,SUCCESS_ACTUATION_CONFIRMED
ACT-00057,DEC-00084,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-11 11:00:47,136,SUCCESS_ACTUATION_CONFIRMED
ACT-00058,DEC-00085,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-11 21:00:31,193,SUCCESS_ACTUATION_CONFIRMED
ACT-00059,DEC-00086,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-12 01:00:23,161,SUCCESS_ACTUATION_CONFIRMED
ACT-00060,DEC-00088,eldoret,DIVERT_TO_AUXILIARY_BAY,PARTIAL,Terminal Loading Actuator (PS27),2026-07-12 09:00:25,177,SUCCESS_ACTUATION_CONFIRMED
ACT-00061,DEC-00090,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-12 21:00:45,175,SUCCESS_ACTUATION_CONFIRMED
ACT-00062,DEC-00091,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-07-13 09:00:23,115,SUCCESS_ACTUATION_CONFIRMED
ACT-00063,DEC-00094,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-15 12:00:34,107,SUCCESS_ACTUATION_CONFIRMED
ACT-00064,DEC-00095,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-07-15 19:00:38,191,SUCCESS_ACTUATION_CONFIRMED
ACT-00065,DEC-00097,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-17 00:00:38,172,SUCCESS_ACTUATION_CONFIRMED
ACT-00066,DEC-00098,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-07-17 08:00:27,201,SUCCESS_ACTUATION_CONFIRMED
ACT-00067,DEC-00100,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-18 01:00:41,173,SUCCESS_ACTUATION_CONFIRMED
ACT-00068,DEC-00102,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-19 03:00:27,120,SUCCESS_ACTUATION_CONFIRMED
ACT-00069,DEC-00103,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-07-19 06:00:23,159,SUCCESS_ACTUATION_CONFIRMED
ACT-00070,DEC-00104,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-19 12:00:34,206,SUCCESS_ACTUATION_CONFIRMED
ACT-00071,DEC-00105,mombasa,DIVERT_TO_AUXILIARY_BAY,PARTIAL,Terminal Loading Actuator (KOT-PS1),2026-07-19 21:00:18,188,SUCCESS_ACTUATION_CONFIRMED
ACT-00072,DEC-00106,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-20 19:00:33,99,SUCCESS_ACTUATION_CONFIRMED
ACT-00073,DEC-00107,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-07-20 22:00:26,171,SUCCESS_ACTUATION_CONFIRMED
ACT-00074,DEC-00108,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-07-21 02:00:49,201,SUCCESS_ACTUATION_CONFIRMED
ACT-00075,DEC-00109,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-21 15:00:33,106,SUCCESS_ACTUATION_CONFIRMED
ACT-00076,DEC-00111,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-07-22 01:00:35,169,SUCCESS_ACTUATION_CONFIRMED
ACT-00077,DEC-00113,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-22 23:00:25,111,SUCCESS_ACTUATION_CONFIRMED
ACT-00078,DEC-00115,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-07-24 08:00:39,165,SUCCESS_ACTUATION_CONFIRMED
ACT-00079,DEC-00118,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-07-25 16:00:39,169,SUCCESS_ACTUATION_CONFIRMED
ACT-00080,DEC-00120,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-07-27 22:00:40,85,SUCCESS_ACTUATION_CONFIRMED
ACT-00081,DEC-00121,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-28 00:00:43,149,SUCCESS_ACTUATION_CONFIRMED
ACT-00082,DEC-00123,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-28 16:00:40,119,SUCCESS_ACTUATION_CONFIRMED
ACT-00083,DEC-00125,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-07-29 04:00:27,114,SUCCESS_ACTUATION_CONFIRMED
ACT-00084,DEC-00126,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-29 06:00:47,141,SUCCESS_ACTUATION_CONFIRMED
ACT-00085,DEC-00127,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-07-29 11:00:45,111,SUCCESS_ACTUATION_CONFIRMED
ACT-00086,DEC-00128,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-07-30 18:00:44,102,SUCCESS_ACTUATION_CONFIRMED
ACT-00087,DEC-00129,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-07-31 09:00:41,104,SUCCESS_ACTUATION_CONFIRMED
ACT-00088,DEC-00130,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-07-31 12:00:20,170,SUCCESS_ACTUATION_CONFIRMED
ACT-00089,DEC-00131,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-01 02:00:42,164,SUCCESS_ACTUATION_CONFIRMED
ACT-00090,DEC-00132,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-08-01 09:00:21,146,SUCCESS_ACTUATION_CONFIRMED
ACT-00091,DEC-00134,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-08-02 03:00:22,208,SUCCESS_ACTUATION_CONFIRMED
ACT-00092,DEC-00135,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-08-02 11:00:43,142,SUCCESS_ACTUATION_CONFIRMED
ACT-00093,DEC-00136,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-02 23:00:34,153,SUCCESS_ACTUATION_CONFIRMED
ACT-00094,DEC-00137,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-03 06:00:31,94,SUCCESS_ACTUATION_CONFIRMED
ACT-00095,DEC-00139,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (KOT-PS1),2026-08-04 03:00:35,180,SUCCESS_ACTUATION_CONFIRMED
ACT-00096,DEC-00140,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-08-04 14:00:34,206,SUCCESS_ACTUATION_CONFIRMED
ACT-00097,DEC-00141,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-08-05 07:00:20,141,SUCCESS_ACTUATION_CONFIRMED
ACT-00098,DEC-00142,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-05 15:00:47,188,SUCCESS_ACTUATION_CONFIRMED
ACT-00099,DEC-00143,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (PS28),2026-08-05 19:00:31,124,SUCCESS_ACTUATION_CONFIRMED
ACT-00100,DEC-00144,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-08-06 00:00:38,127,SUCCESS_ACTUATION_CONFIRMED
ACT-00101,DEC-00146,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-06 07:00:20,163,SUCCESS_ACTUATION_CONFIRMED
ACT-00102,DEC-00147,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-08-06 13:00:34,99,SUCCESS_ACTUATION_CONFIRMED
ACT-00103,DEC-00148,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-08-06 19:00:34,193,SUCCESS_ACTUATION_CONFIRMED
ACT-00104,DEC-00149,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-06 22:00:42,189,SUCCESS_ACTUATION_CONFIRMED
ACT-00105,DEC-00151,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-08-07 16:00:47,99,SUCCESS_ACTUATION_CONFIRMED
ACT-00106,DEC-00153,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-08-08 09:00:25,136,SUCCESS_ACTUATION_CONFIRMED
ACT-00107,DEC-00155,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-08-09 20:00:24,120,SUCCESS_ACTUATION_CONFIRMED
ACT-00108,DEC-00156,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-08-09 22:00:40,200,SUCCESS_ACTUATION_CONFIRMED
ACT-00109,DEC-00157,kisumu,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS28),2026-08-10 04:00:44,160,SUCCESS_ACTUATION_CONFIRMED
ACT-00110,DEC-00158,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-10 20:00:39,146,SUCCESS_ACTUATION_CONFIRMED
ACT-00111,DEC-00159,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-08-11 03:00:29,178,SUCCESS_ACTUATION_CONFIRMED
ACT-00112,DEC-00161,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (PS10),2026-08-11 19:00:24,195,SUCCESS_ACTUATION_CONFIRMED
ACT-00113,DEC-00162,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-12 04:00:43,100,SUCCESS_ACTUATION_CONFIRMED
ACT-00114,DEC-00163,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-12 12:00:39,111,SUCCESS_ACTUATION_CONFIRMED
ACT-00115,DEC-00164,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-08-12 21:00:33,207,SUCCESS_ACTUATION_CONFIRMED
ACT-00116,DEC-00165,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-13 03:00:46,154,SUCCESS_ACTUATION_CONFIRMED
ACT-00117,DEC-00169,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-13 19:00:46,107,SUCCESS_ACTUATION_CONFIRMED
ACT-00118,DEC-00170,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-08-14 08:00:36,194,SUCCESS_ACTUATION_CONFIRMED
ACT-00119,DEC-00172,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-14 15:00:44,177,SUCCESS_ACTUATION_CONFIRMED
ACT-00120,DEC-00173,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-08-15 06:00:27,95,SUCCESS_ACTUATION_CONFIRMED
ACT-00121,DEC-00176,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-15 20:00:28,113,SUCCESS_ACTUATION_CONFIRMED
ACT-00122,DEC-00177,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (PS10),2026-08-15 23:00:35,119,SUCCESS_ACTUATION_CONFIRMED
ACT-00123,DEC-00180,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-08-16 22:00:39,86,SUCCESS_ACTUATION_CONFIRMED
ACT-00124,DEC-00181,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-17 06:00:34,89,SUCCESS_ACTUATION_CONFIRMED
ACT-00125,DEC-00182,nakuru,DIVERT_TO_AUXILIARY_BAY,PARTIAL,Terminal Loading Actuator (PS25),2026-08-17 08:00:28,123,SUCCESS_ACTUATION_CONFIRMED
ACT-00126,DEC-00183,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-18 15:00:40,167,SUCCESS_ACTUATION_CONFIRMED
ACT-00127,DEC-00185,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-19 07:00:28,113,SUCCESS_ACTUATION_CONFIRMED
ACT-00128,DEC-00187,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-08-20 06:00:37,120,SUCCESS_ACTUATION_CONFIRMED
ACT-00129,DEC-00188,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-08-20 14:00:44,95,SUCCESS_ACTUATION_CONFIRMED
ACT-00130,DEC-00189,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-08-20 20:00:37,106,SUCCESS_ACTUATION_CONFIRMED
ACT-00131,DEC-00191,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,PARTIAL,Terminal Loading Actuator (PS28),2026-08-21 05:00:45,97,SUCCESS_ACTUATION_CONFIRMED
