gate_event_id,order_id,depot_id,truck_id,event_type,event_timestamp,tare_weight_kg,gross_weight_kg,rfid_transponder_id,gate_lane
GE-0000034,LO-PS10-01005,nairobi,TRK-0301,ARRIVAL,2026-06-11 17:24:16,0,0,RFID-KDC466P,Outer Lane 1
GE-0000035,LO-PS10-01005,nairobi,TRK-0301,GATE_IN,2026-06-11 17:41:16,15865,0,RFID-KDC466P,Tare Scale 2
GE-0000036,LO-PS10-01005,nairobi,TRK-0301,GATE_OUT,2026-06-11 19:22:17,15865,45665,RFID-KDC466P,Gross Weighbridge Platform 2
GE-0000037,LO-KOTPS1-01004,mombasa,TRK-0564,ARRIVAL,2026-06-11 12:26:44,0,0,RFID-KDM269A,Outer Lane 1
GE-0000038,LO-KOTPS1-01004,mombasa,TRK-0564,GATE_IN,2026-06-11 12:36:44,15599,0,RFID-KDM269A,Tare Scale 2
GE-0000039,LO-KOTPS1-01004,mombasa,TRK-0564,GATE_OUT,2026-06-11 14:10:41,15599,43909,RFID-KDM269A,Gross Weighbridge Platform 2
GE-0000040,LO-PS27-01002,eldoret,TRK-0706,ARRIVAL,2026-06-11 16:44:15,0,0,RFID-KCP563X,Outer Lane 3
GE-0000041,LO-PS27-01002,eldoret,TRK-0706,GATE_IN,2026-06-11 16:49:15,15938,0,RFID-KCP563X,Tare Scale 1
GE-0000042,LO-PS27-01002,eldoret,TRK-0706,GATE_OUT,2026-06-11 18:34:31,15938,47738,RFID-KCP563X,Gross Weighbridge Platform 2
GE-0000043,LO-PS10-01006,nairobi,TRK-0435,ARRIVAL,2026-06-11 10:43:51,0,0,RFID-KBW601Z,Outer Lane 2
GE-0000044,LO-PS10-01006,nairobi,TRK-0435,GATE_IN,2026-06-11 10:55:51,14683,0,RFID-KBW601Z,Tare Scale 2
GE-0000045,LO-PS10-01006,nairobi,TRK-0435,GATE_OUT,2026-06-11 11:58:48,14683,40013,RFID-KBW601Z,Gross Weighbridge Platform 2
GE-0000046,LO-PS10-01007,nairobi,TRK-0521,ARRIVAL,2026-06-11 16:22:13,0,0,RFID-KDA883C,Outer Lane 2
GE-0000047,LO-PS10-01007,nairobi,TRK-0521,GATE_IN,2026-06-11 16:40:13,16372,0,RFID-KDA883C,Tare Scale 1
GE-0000048,LO-PS10-01007,nairobi,TRK-0521,GATE_OUT,2026-06-11 17:53:02,16372,46172,RFID-KDA883C,Gross Weighbridge Platform 2
GE-0000049,LO-PS25-01003,nakuru,TRK-0537,ARRIVAL,2026-06-11 11:28:51,0,0,RFID-KCH880D,Outer Lane 1
GE-0000050,LO-PS25-01003,nakuru,TRK-0537,GATE_IN,2026-06-11 11:33:51,16412,0,RFID-KCH880D,Tare Scale 2
GE-0000051,LO-PS25-01003,nakuru,TRK-0537,GATE_OUT,2026-06-11 13:37:45,16412,50012,RFID-KCH880D,Gross Weighbridge Platform 1
GE-0000052,LO-PS10-01008,nairobi,TRK-0319,ARRIVAL,2026-06-11 15:57:10,0,0,RFID-KDT125H,Outer Lane 1
GE-0000053,LO-PS10-01008,nairobi,TRK-0319,GATE_IN,2026-06-11 16:03:10,13074,0,RFID-KDT125H,Tare Scale 2
GE-0000054,LO-PS10-01008,nairobi,TRK-0319,GATE_OUT,2026-06-11 17:20:23,13074,35334,RFID-KDT125H,Gross Weighbridge Platform 2
GE-0000055,LO-PS10-01009,nairobi,TRK-0053,ARRIVAL,2026-06-11 09:43:41,0,0,RFID-KCQ710Q,Outer Lane 1
GE-0000056,LO-PS10-01009,nairobi,TRK-0053,GATE_IN,2026-06-11 09:59:41,14050,0,RFID-KCQ710Q,Tare Scale 2
GE-0000057,LO-PS10-01009,nairobi,TRK-0053,GATE_OUT,2026-06-11 11:32:46,14050,39380,RFID-KCQ710Q,Gross Weighbridge Platform 2
GE-0000058,LO-PS10-01010,nairobi,TRK-0671,ARRIVAL,2026-06-11 16:39:09,0,0,RFID-KCH366S,Outer Lane 3
GE-0000059,LO-PS10-01010,nairobi,TRK-0671,GATE_IN,2026-06-11 16:48:09,16189,0,RFID-KCH366S,Tare Scale 2
GE-0000060,LO-PS10-01010,nairobi,TRK-0671,GATE_OUT,2026-06-11 18:35:17,16189,49789,RFID-KCH366S,Gross Weighbridge Platform 1
GE-0000061,LO-PS25-01004,nakuru,TRK-0427,ARRIVAL,2026-06-11 15:52:48,0,0,RFID-KBQ297T,Outer Lane 3
GE-0000062,LO-PS25-01004,nakuru,TRK-0427,GATE_IN,2026-06-11 16:01:48,14130,0,RFID-KBQ297T,Tare Scale 2
GE-0000063,LO-PS25-01004,nakuru,TRK-0427,GATE_OUT,2026-06-11 17:29:23,14130,41010,RFID-KBQ297T,Gross Weighbridge Platform 2
GE-0000064,LO-PS27-01003,eldoret,TRK-0541,ARRIVAL,2026-06-11 13:20:13,0,0,RFID-KBZ310Y,Outer Lane 3
GE-0000065,LO-PS27-01003,eldoret,TRK-0541,GATE_IN,2026-06-11 13:30:13,15842,0,RFID-KBZ310Y,Tare Scale 2
GE-0000066,LO-PS27-01003,eldoret,TRK-0541,GATE_OUT,2026-06-11 15:20:53,15842,45642,RFID-KBZ310Y,Gross Weighbridge Platform 1
GE-0000067,LO-PS25-01005,nakuru,TRK-0707,ARRIVAL,2026-06-11 10:18:00,0,0,RFID-KDH220M,Outer Lane 1
GE-0000068,LO-PS25-01005,nakuru,TRK-0707,GATE_IN,2026-06-11 10:36:00,14861,0,RFID-KDH220M,Tare Scale 2
GE-0000069,LO-PS25-01005,nakuru,TRK-0707,GATE_OUT,2026-06-11 12:11:34,14861,41681,RFID-KDH220M,Gross Weighbridge Platform 2
GE-0000070,LO-KOTPS1-01005,mombasa,TRK-0390,ARRIVAL,2026-06-11 19:40:29,0,0,RFID-KCC292Q,Outer Lane 3
GE-0000071,LO-KOTPS1-01005,mombasa,TRK-0390,GATE_IN,2026-06-11 19:46:29,15418,0,RFID-KCC292Q,Tare Scale 2
GE-0000072,LO-KOTPS1-01005,mombasa,TRK-0390,GATE_OUT,2026-06-11 21:01:01,15418,43728,RFID-KCC292Q,Gross Weighbridge Platform 1
GE-0000073,LO-KOTPS1-01006,mombasa,TRK-0529,ARRIVAL,2026-06-11 07:05:06,0,0,RFID-KBH559Q,Outer Lane 1
GE-0000074,LO-KOTPS1-01006,mombasa,TRK-0529,GATE_IN,2026-06-11 07:16:06,15196,0,RFID-KBH559Q,Tare Scale 2
GE-0000075,LO-KOTPS1-01006,mombasa,TRK-0529,GATE_OUT,2026-06-11 08:34:28,15196,45436,RFID-KBH559Q,Gross Weighbridge Platform 2
GE-0000076,LO-PS27-01004,eldoret,TRK-0342,ARRIVAL,2026-06-11 09:54:08,0,0,RFID-KBY752G,Outer Lane 2
GE-0000077,LO-PS27-01004,eldoret,TRK-0342,GATE_IN,2026-06-11 10:08:08,14746,0,RFID-KBY752G,Tare Scale 2
GE-0000078,LO-PS27-01004,eldoret,TRK-0342,GATE_OUT,2026-06-11 11:15:40,14746,43306,RFID-KBY752G,Gross Weighbridge Platform 2
GE-0000079,LO-KOTPS1-01007,mombasa,TRK-0301,ARRIVAL,2026-06-11 12:02:59,0,0,RFID-KDC466P,Outer Lane 2
GE-0000080,LO-KOTPS1-01007,mombasa,TRK-0301,GATE_IN,2026-06-11 12:08:59,15865,0,RFID-KDC466P,Tare Scale 1
GE-0000081,LO-KOTPS1-01007,mombasa,TRK-0301,GATE_OUT,2026-06-11 13:46:45,15865,45665,RFID-KDC466P,Gross Weighbridge Platform 2
GE-0000082,LO-PS10-01011,nairobi,TRK-0605,ARRIVAL,2026-06-11 11:29:50,0,0,RFID-KDL656J,Outer Lane 3
GE-0000083,LO-PS10-01011,nairobi,TRK-0605,GATE_IN,2026-06-11 11:41:50,13179,0,RFID-KDL656J,Tare Scale 2
GE-0000084,LO-PS10-01011,nairobi,TRK-0605,GATE_OUT,2026-06-11 13:12:32,13179,35691,RFID-KDL656J,Gross Weighbridge Platform 2
GE-0000085,LO-PS10-01012,nairobi,TRK-0017,ARRIVAL,2026-06-11 10:36:07,0,0,RFID-KCQ731T,Outer Lane 2
GE-0000086,LO-PS10-01012,nairobi,TRK-0017,GATE_IN,2026-06-11 10:54:07,14425,0,RFID-KCQ731T,Tare Scale 1
GE-0000087,LO-PS10-01012,nairobi,TRK-0017,GATE_OUT,2026-06-11 12:41:25,14425,39755,RFID-KCQ731T,Gross Weighbridge Platform 1
GE-0000088,LO-KOTPS1-01008,mombasa,TRK-0016,ARRIVAL,2026-06-11 11:56:17,0,0,RFID-KBT302H,Outer Lane 2
GE-0000089,LO-KOTPS1-01008,mombasa,TRK-0016,GATE_IN,2026-06-11 12:02:17,13918,0,RFID-KBT302H,Tare Scale 1
GE-0000090,LO-KOTPS1-01008,mombasa,TRK-0016,GATE_OUT,2026-06-11 12:47:47,13918,13918,RFID-KBT302H,Rejection Exit Lane
GE-0000091,LO-PS10-01013,nairobi,TRK-0586,ARRIVAL,2026-06-11 09:07:41,0,0,RFID-KCT801E,Outer Lane 2
GE-0000092,LO-PS10-01013,nairobi,TRK-0586,GATE_IN,2026-06-11 09:20:41,15905,0,RFID-KCT801E,Tare Scale 1
GE-0000093,LO-PS10-01013,nairobi,TRK-0586,GATE_OUT,2026-06-11 10:32:03,15905,47825,RFID-KCT801E,Gross Weighbridge Platform 1
GE-0000094,LO-PS10-01014,nairobi,TRK-0361,ARRIVAL,2026-06-11 08:12:21,0,0,RFID-KCZ489D,Outer Lane 3
GE-0000095,LO-PS10-01014,nairobi,TRK-0361,GATE_IN,2026-06-11 08:17:21,13530,0,RFID-KCZ489D,Tare Scale 2
GE-0000096,LO-PS10-01014,nairobi,TRK-0361,GATE_OUT,2026-06-11 09:25:09,13530,37370,RFID-KCZ489D,Gross Weighbridge Platform 1
GE-0000097,LO-PS25-01006,nakuru,TRK-0230,ARRIVAL,2026-06-11 09:27:24,0,0,RFID-KBE919R,Outer Lane 2
GE-0000098,LO-PS25-01006,nakuru,TRK-0230,GATE_IN,2026-06-11 09:33:24,14766,0,RFID-KBE919R,Tare Scale 1
GE-0000099,LO-PS25-01006,nakuru,TRK-0230,GATE_OUT,2026-06-11 10:33:12,14766,43326,RFID-KBE919R,Gross Weighbridge Platform 2
GE-0000100,LO-KOTPS1-01009,mombasa,TRK-0396,ARRIVAL,2026-06-11 10:17:32,0,0,RFID-KBK446J,Outer Lane 2
GE-0000101,LO-KOTPS1-01009,mombasa,TRK-0396,GATE_IN,2026-06-11 10:31:32,14779,0,RFID-KBK446J,Tare Scale 1
GE-0000102,LO-KOTPS1-01009,mombasa,TRK-0396,GATE_OUT,2026-06-11 12:01:15,14779,41809,RFID-KBK446J,Gross Weighbridge Platform 2
GE-0000103,LO-KOTPS1-01010,mombasa,TRK-0181,ARRIVAL,2026-06-11 09:45:23,0,0,RFID-KDZ242Y,Outer Lane 2
GE-0000104,LO-KOTPS1-01010,mombasa,TRK-0181,GATE_IN,2026-06-11 09:53:23,13678,0,RFID-KDZ242Y,Tare Scale 2
GE-0000105,LO-KOTPS1-01010,mombasa,TRK-0181,GATE_OUT,2026-06-11 11:35:56,13678,40558,RFID-KDZ242Y,Gross Weighbridge Platform 2
GE-0000106,LO-KOTPS1-01011,mombasa,TRK-0588,ARRIVAL,2026-06-11 09:33:50,0,0,RFID-KCW775E,Outer Lane 1
GE-0000107,LO-KOTPS1-01011,mombasa,TRK-0588,GATE_IN,2026-06-11 09:49:50,12481,0,RFID-KCW775E,Tare Scale 2
GE-0000108,LO-KOTPS1-01011,mombasa,TRK-0588,GATE_OUT,2026-06-11 11:07:54,12481,33341,RFID-KCW775E,Gross Weighbridge Platform 1
GE-0000109,LO-PS10-01015,nairobi,TRK-0702,ARRIVAL,2026-06-11 10:17:47,0,0,RFID-KCA300L,Outer Lane 3
GE-0000110,LO-PS10-01015,nairobi,TRK-0702,GATE_IN,2026-06-11 10:23:47,14521,0,RFID-KCA300L,Tare Scale 1
GE-0000111,LO-PS10-01015,nairobi,TRK-0702,GATE_OUT,2026-06-11 11:08:13,14521,14521,RFID-KCA300L,Rejection Exit Lane
GE-0000112,LO-PS28-01002,kisumu,TRK-0354,ARRIVAL,2026-06-11 12:41:27,0,0,RFID-KDA961D,Outer Lane 3
GE-0000113,LO-PS28-01002,kisumu,TRK-0354,GATE_IN,2026-06-11 12:51:27,15916,0,RFID-KDA961D,Tare Scale 1
GE-0000114,LO-PS28-01002,kisumu,TRK-0354,GATE_OUT,2026-06-11 14:11:48,15916,44226,RFID-KDA961D,Gross Weighbridge Platform 1
GE-0000115,LO-PS28-01003,kisumu,TRK-0433,ARRIVAL,2026-06-11 09:14:49,0,0,RFID-KCB608K,Outer Lane 2
GE-0000116,LO-PS28-01003,kisumu,TRK-0433,GATE_IN,2026-06-11 09:19:49,14930,0,RFID-KCB608K,Tare Scale 1
GE-0000117,LO-PS28-01003,kisumu,TRK-0433,GATE_OUT,2026-06-11 10:42:08,14930,41750,RFID-KCB608K,Gross Weighbridge Platform 2
GE-0000118,LO-KOTPS1-01012,mombasa,TRK-0512,ARRIVAL,2026-06-11 18:53:30,0,0,RFID-KDV407T,Outer Lane 3
GE-0000119,LO-KOTPS1-01012,mombasa,TRK-0512,GATE_IN,2026-06-11 19:11:30,15912,0,RFID-KDV407T,Tare Scale 2
GE-0000120,LO-KOTPS1-01012,mombasa,TRK-0512,GATE_OUT,2026-06-11 20:31:23,15912,49512,RFID-KDV407T,Gross Weighbridge Platform 1
GE-0000121,LO-PS10-01016,nairobi,TRK-0700,ARRIVAL,2026-06-11 15:10:50,0,0,RFID-KDB580H,Outer Lane 3
GE-0000122,LO-PS10-01016,nairobi,TRK-0700,GATE_IN,2026-06-11 15:23:50,14235,0,RFID-KDB580H,Tare Scale 2
GE-0000123,LO-PS10-01016,nairobi,TRK-0700,GATE_OUT,2026-06-11 16:04:37,14235,14235,RFID-KDB580H,Rejection Exit Lane
GE-0000124,LO-PS25-01007,nakuru,TRK-0565,ARRIVAL,2026-06-11 14:10:23,0,0,RFID-KCX680L,Outer Lane 2
GE-0000125,LO-PS25-01007,nakuru,TRK-0565,GATE_IN,2026-06-11 14:18:23,14268,0,RFID-KCX680L,Tare Scale 1
GE-0000126,LO-PS25-01007,nakuru,TRK-0565,GATE_OUT,2026-06-11 15:41:10,14268,41148,RFID-KCX680L,Gross Weighbridge Platform 1
GE-0000127,LO-KOTPS1-01013,mombasa,TRK-0530,ARRIVAL,2026-06-11 11:11:05,0,0,RFID-KBW983N,Outer Lane 2
GE-0000128,LO-KOTPS1-01013,mombasa,TRK-0530,GATE_IN,2026-06-11 11:18:05,15008,0,RFID-KBW983N,Tare Scale 2
GE-0000129,LO-KOTPS1-01013,mombasa,TRK-0530,GATE_OUT,2026-06-11 12:42:05,15008,43628,RFID-KBW983N,Gross Weighbridge Platform 1
GE-0000130,LO-PS10-01017,nairobi,TRK-0442,ARRIVAL,2026-06-11 12:09:02,0,0,RFID-KDF542A,Outer Lane 1
GE-0000131,LO-PS10-01017,nairobi,TRK-0442,GATE_IN,2026-06-11 12:15:02,15276,0,RFID-KDF542A,Tare Scale 2
GE-0000132,LO-PS10-01017,nairobi,TRK-0442,GATE_OUT,2026-06-11 12:52:45,15276,15276,RFID-KDF542A,Rejection Exit Lane
GE-0000133,LO-PS10-01018,nairobi,TRK-0241,ARRIVAL,2026-06-11 08:34:45,0,0,RFID-KDA445Z,Outer Lane 3
GE-0000134,LO-PS10-01018,nairobi,TRK-0241,GATE_IN,2026-06-11 08:43:45,14916,0,RFID-KDA445Z,Tare Scale 1
GE-0000135,LO-PS10-01018,nairobi,TRK-0241,GATE_OUT,2026-06-11 09:46:17,14916,45156,RFID-KDA445Z,Gross Weighbridge Platform 1
GE-0000136,LO-PS10-01019,nairobi,TRK-0460,ARRIVAL,2026-06-11 15:22:19,0,0,RFID-KDN791X,Outer Lane 3
GE-0000137,LO-PS10-01019,nairobi,TRK-0460,GATE_IN,2026-06-11 15:34:19,16056,0,RFID-KDN791X,Tare Scale 2
GE-0000138,LO-PS10-01019,nairobi,TRK-0460,GATE_OUT,2026-06-11 16:51:02,16056,47856,RFID-KDN791X,Gross Weighbridge Platform 1
GE-0000139,LO-KOTPS1-01014,mombasa,TRK-0015,ARRIVAL,2026-06-11 10:34:55,0,0,RFID-KDS131F,Outer Lane 3
GE-0000140,LO-KOTPS1-01014,mombasa,TRK-0015,GATE_IN,2026-06-11 10:46:55,14207,0,RFID-KDS131F,Tare Scale 1
GE-0000141,LO-KOTPS1-01014,mombasa,TRK-0015,GATE_OUT,2026-06-11 12:29:20,14207,39537,RFID-KDS131F,Gross Weighbridge Platform 1
GE-0000142,LO-KOTPS1-01015,mombasa,TRK-0717,ARRIVAL,2026-06-11 13:05:00,0,0,RFID-KBK848B,Outer Lane 2
GE-0000143,LO-KOTPS1-01015,mombasa,TRK-0717,GATE_IN,2026-06-11 13:15:00,14208,0,RFID-KBK848B,Tare Scale 2
GE-0000144,LO-KOTPS1-01015,mombasa,TRK-0717,GATE_OUT,2026-06-11 14:25:48,14208,39538,RFID-KBK848B,Gross Weighbridge Platform 1
GE-0000145,LO-PS10-01020,nairobi,TRK-0087,ARRIVAL,2026-06-11 13:38:42,0,0,RFID-KBM740R,Outer Lane 1
GE-0000146,LO-PS10-01020,nairobi,TRK-0087,GATE_IN,2026-06-11 13:56:42,14514,0,RFID-KBM740R,Tare Scale 2
GE-0000147,LO-PS10-01020,nairobi,TRK-0087,GATE_OUT,2026-06-11 15:37:43,14514,43074,RFID-KBM740R,Gross Weighbridge Platform 1
GE-0000148,LO-PS10-01021,nairobi,TRK-0579,ARRIVAL,2026-06-11 13:04:05,0,0,RFID-KCU286K,Outer Lane 3
GE-0000149,LO-PS10-01021,nairobi,TRK-0579,GATE_IN,2026-06-11 13:20:05,15007,0,RFID-KCU286K,Tare Scale 2
GE-0000150,LO-PS10-01021,nairobi,TRK-0579,GATE_OUT,2026-06-11 14:53:57,15007,43627,RFID-KCU286K,Gross Weighbridge Platform 2
GE-0000151,LO-KOTPS1-01016,mombasa,TRK-0625,ARRIVAL,2026-06-11 12:32:56,0,0,RFID-KDY673C,Outer Lane 3
GE-0000152,LO-KOTPS1-01016,mombasa,TRK-0625,GATE_IN,2026-06-11 12:48:56,12483,0,RFID-KDY673C,Tare Scale 1
GE-0000153,LO-KOTPS1-01016,mombasa,TRK-0625,GATE_OUT,2026-06-11 13:59:20,12483,33343,RFID-KDY673C,Gross Weighbridge Platform 1
GE-0000154,LO-KOTPS1-01017,mombasa,TRK-0434,ARRIVAL,2026-06-11 10:40:22,0,0,RFID-KCE580U,Outer Lane 1
GE-0000155,LO-KOTPS1-01017,mombasa,TRK-0434,GATE_IN,2026-06-11 10:58:22,14866,0,RFID-KCE580U,Tare Scale 2
GE-0000156,LO-KOTPS1-01017,mombasa,TRK-0434,GATE_OUT,2026-06-11 12:08:04,14866,41686,RFID-KCE580U,Gross Weighbridge Platform 1
GE-0000157,LO-PS27-01005,eldoret,TRK-0610,ARRIVAL,2026-06-11 15:54:52,0,0,RFID-KCY352R,Outer Lane 1
GE-0000158,LO-PS27-01005,eldoret,TRK-0610,GATE_IN,2026-06-11 16:12:52,16100,0,RFID-KCY352R,Tare Scale 2
GE-0000159,LO-PS27-01005,eldoret,TRK-0610,GATE_OUT,2026-06-11 17:48:04,16100,47900,RFID-KCY352R,Gross Weighbridge Platform 1
GE-0000160,LO-KOTPS1-01018,mombasa,TRK-0111,ARRIVAL,2026-06-11 15:51:22,0,0,RFID-KDS430C,Outer Lane 1
GE-0000161,LO-KOTPS1-01018,mombasa,TRK-0111,GATE_IN,2026-06-11 16:08:22,14206,0,RFID-KDS430C,Tare Scale 2
GE-0000162,LO-KOTPS1-01018,mombasa,TRK-0111,GATE_OUT,2026-06-11 17:24:42,14206,39536,RFID-KDS430C,Gross Weighbridge Platform 1
GE-0000163,LO-PS27-01006,eldoret,TRK-0092,ARRIVAL,2026-06-11 16:40:48,0,0,RFID-KBL836B,Outer Lane 2
GE-0000164,LO-PS27-01006,eldoret,TRK-0092,GATE_IN,2026-06-11 16:55:48,14450,0,RFID-KBL836B,Tare Scale 1
GE-0000165,LO-PS27-01006,eldoret,TRK-0092,GATE_OUT,2026-06-11 18:42:49,14450,41480,RFID-KBL836B,Gross Weighbridge Platform 2
GE-0000166,LO-KOTPS1-01019,mombasa,TRK-0246,ARRIVAL,2026-06-11 14:11:57,0,0,RFID-KBC537W,Outer Lane 3
GE-0000167,LO-KOTPS1-01019,mombasa,TRK-0246,GATE_IN,2026-06-11 14:22:57,14265,0,RFID-KBC537W,Tare Scale 1
GE-0000168,LO-KOTPS1-01019,mombasa,TRK-0246,GATE_OUT,2026-06-11 15:48:17,14265,42825,RFID-KBC537W,Gross Weighbridge Platform 2
GE-0000169,LO-PS27-01007,eldoret,TRK-0630,ARRIVAL,2026-06-11 10:52:50,0,0,RFID-KBA425Z,Outer Lane 1
GE-0000170,LO-PS27-01007,eldoret,TRK-0630,GATE_IN,2026-06-11 11:04:50,13740,0,RFID-KBA425Z,Tare Scale 1
GE-0000171,LO-PS27-01007,eldoret,TRK-0630,GATE_OUT,2026-06-11 12:47:51,13740,37580,RFID-KBA425Z,Gross Weighbridge Platform 2
GE-0000172,LO-PS28-01004,kisumu,TRK-0745,ARRIVAL,2026-06-11 10:32:40,0,0,RFID-KDD741E,Outer Lane 2
GE-0000173,LO-PS28-01004,kisumu,TRK-0745,GATE_IN,2026-06-11 10:48:40,14421,0,RFID-KDD741E,Tare Scale 2
GE-0000174,LO-PS28-01004,kisumu,TRK-0745,GATE_OUT,2026-06-11 12:24:12,14421,41241,RFID-KDD741E,Gross Weighbridge Platform 2
GE-0000175,LO-PS27-01008,eldoret,TRK-0398,ARRIVAL,2026-06-11 12:53:49,0,0,RFID-KCG965N,Outer Lane 1
GE-0000176,LO-PS27-01008,eldoret,TRK-0398,GATE_IN,2026-06-11 13:09:49,14764,0,RFID-KCG965N,Tare Scale 2
GE-0000177,LO-PS27-01008,eldoret,TRK-0398,GATE_OUT,2026-06-11 14:22:51,14764,41584,RFID-KCG965N,Gross Weighbridge Platform 2
