loading_event_id,order_id,depot_id,loading_position_id,loading_start,loading_end,planned_quantity_litres,actual_quantity_litres,loading_duration_minutes,avg_flow_rate_lpm,dual_arm_used,loading_status,exception_reason
LDG-000119,LO-PS10-01046,nairobi,NBO-P01,2026-06-11 15:51:57,2026-06-11 16:20:30,40000,40000,28.56,2227,True,COMPLETED,
LDG-000120,LO-PS10-01047,nairobi,NBO-P08,2026-06-11 17:35:06,2026-06-11 17:59:10,28000,28000,24.08,1666,False,COMPLETED,
LDG-000121,LO-PS10-01048,nairobi,NBO-P04,2026-06-11 20:05:15,2026-06-11 20:35:13,32000,32000,29.97,1596,False,COMPLETED,
LDG-000122,LO-PS10-01049,nairobi,NBO-P01,2026-06-11 17:17:11,2026-06-11 17:46:34,28000,28000,29.38,1526,False,COMPLETED,
LDG-000123,LO-PS25-01020,nakuru,NKR-P02,2026-06-11 15:10:22,2026-06-11 15:39:55,32000,32000,29.55,1534,False,COMPLETED,
LDG-000124,LO-PS10-01050,nairobi,NBO-P08,2026-06-11 18:47:54,2026-06-11 19:15:15,28000,28000,27.35,1638,False,COMPLETED,
LDG-000125,LO-PS27-01015,eldoret,ELD-P01,2026-06-11 13:24:30,2026-06-11 13:54:22,28000,28000,29.87,1565,False,COMPLETED,
LDG-000126,LO-PS28-01010,kisumu,KSM-P02,2026-06-11 10:16:12,2026-06-11 10:43:15,34000,34000,27.05,2227,True,COMPLETED,
LDG-000127,LO-PS10-01051,nairobi,NBO-P02,2026-06-11 16:26:02,2026-06-11 16:54:15,28000,28000,28.22,1607,False,COMPLETED,
LDG-000128,LO-PS10-01053,nairobi,NBO-P08,2026-06-11 10:36:10,2026-06-11 11:05:35,32000,32000,29.43,1623,False,COMPLETED,
LDG-000129,LO-PS10-01054,nairobi,NBO-P05,2026-06-11 12:58:18,2026-06-11 13:25:44,34000,34000,27.44,2160,True,COMPLETED,
LDG-000130,LO-PS25-01021,nakuru,NKR-P02,2026-06-11 11:18:38,2026-06-11 11:47:14,28000,28000,28.6,1677,False,COMPLETED,
LDG-000131,LO-KOTPS1-01037,mombasa,MBA-P04,2026-06-11 10:07:38,2026-06-11 10:31:52,34000,34000,24.23,2227,True,COMPLETED,
LDG-000132,LO-PS10-01055,nairobi,NBO-P06,2026-06-11 12:48:42,2026-06-11 13:14:44,28000,28000,26.03,1518,False,COMPLETED,
LDG-000133,LO-KOTPS1-01038,mombasa,MBA-P01,2026-06-11 15:59:15,2026-06-11 16:22:51,38000,38000,23.6,2227,True,COMPLETED,
LDG-000134,LO-KOTPS1-01039,mombasa,MBA-P05,2026-06-11 14:11:08,2026-06-11 14:45:32,38000,38000,34.41,1577,False,COMPLETED,
LDG-000135,LO-PS10-01056,nairobi,NBO-P04,2026-06-11 13:24:55,2026-06-11 13:58:25,36000,36000,33.51,1578,False,COMPLETED,
LDG-000136,LO-PS10-01057,nairobi,NBO-P04,2026-06-11 10:26:30,2026-06-11 11:01:13,40000,40000,34.71,1613,False,COMPLETED,
LDG-000137,LO-PS10-01058,nairobi,NBO-P02,2026-06-11 18:44:13,2026-06-11 19:16:07,34000,34000,31.9,1525,False,COMPLETED,
LDG-000138,LO-PS10-01059,nairobi,NBO-P04,2026-06-11 08:58:32,2026-06-11 09:26:43,32000,32000,28.19,1547,False,COMPLETED,
LDG-000139,LO-PS28-01011,kisumu,KSM-P01,2026-06-11 13:53:49,2026-06-11 14:19:25,40000,40000,25.6,2227,True,COMPLETED,
LDG-000140,LO-PS10-01060,nairobi,NBO-P03,2026-06-11 13:47:51,2026-06-11 14:20:46,40000,40000,32.91,1560,False,COMPLETED,
LDG-000141,LO-PS10-01061,nairobi,NBO-P03,2026-06-11 07:27:04,2026-06-11 07:56:01,38000,38000,28.95,2227,True,COMPLETED,
LDG-000142,LO-PS10-01062,nairobi,NBO-P07,2026-06-11 12:53:53,2026-06-11 13:24:03,32000,32000,30.16,1531,False,COMPLETED,
LDG-000143,LO-PS25-01022,nakuru,NKR-P02,2026-06-11 19:14:10,2026-06-11 19:42:44,34000,34000,28.55,1522,False,COMPLETED,
LDG-000144,LO-PS25-01023,nakuru,NKR-P01,2026-06-11 18:32:55,2026-06-11 19:00:57,38000,38000,28.02,2160,True,COMPLETED,
LDG-000145,LO-KOTPS1-01040,mombasa,MBA-P06,2026-06-11 11:21:00,2026-06-11 11:47:57,34000,34000,26.95,2227,True,COMPLETED,
LDG-000146,LO-PS27-01017,eldoret,ELD-P02,2026-06-11 10:46:13,2026-06-11 11:22:00,40000,40000,35.79,1614,False,COMPLETED,
LDG-000147,LO-KOTPS1-01041,mombasa,MBA-P06,2026-06-12 11:58:17,2026-06-12 12:30:37,36000,36000,32.35,1638,False,COMPLETED,
LDG-000148,LO-KOTPS1-01042,mombasa,MBA-P05,2026-06-12 19:23:28,2026-06-12 19:47:22,28000,28000,23.9,1686,False,COMPLETED,
LDG-000149,LO-PS10-01063,nairobi,NBO-P02,2026-06-12 16:30:13,2026-06-12 16:52:56,34000,34000,22.71,2227,True,COMPLETED,
LDG-000150,LO-PS10-01064,nairobi,NBO-P04,2026-06-12 12:59:11,2026-06-12 13:25:32,38000,38000,26.36,2227,True,COMPLETED,
LDG-000151,LO-KOTPS1-01043,mombasa,MBA-P01,2026-06-12 15:35:51,2026-06-12 15:57:46,32000,32000,21.91,2227,True,COMPLETED,
LDG-000152,LO-KOTPS1-01044,mombasa,MBA-P09,2026-06-12 18:00:09,2026-06-12 18:33:55,38000,38000,33.77,1384,False,COMPLETED,
LDG-000153,LO-KOTPS1-01045,mombasa,MBA-P07,2026-06-12 15:03:44,2026-06-12 15:27:41,28000,28000,23.95,1607,False,COMPLETED,
LDG-000154,LO-PS25-01024,nakuru,NKR-P03,2026-06-12 16:07:43,2026-06-12 16:36:42,34000,34000,28.99,1635,False,COMPLETED,
LDG-000155,LO-PS10-01065,nairobi,NBO-P08,2026-06-12 13:08:17,2026-06-12 13:33:51,32000,32000,25.56,1727,False,COMPLETED,
LDG-000156,LO-PS10-01066,nairobi,NBO-P01,2026-06-12 08:29:58,2026-06-12 09:01:37,36000,36000,31.65,1711,False,COMPLETED,
LDG-000157,LO-PS10-01067,nairobi,NBO-P08,2026-06-12 13:39:02,2026-06-12 14:10:03,38000,38000,31.03,1713,False,COMPLETED,
LDG-000158,LO-PS10-01068,nairobi,NBO-P02,2026-06-12 12:12:02,2026-06-12 12:34:39,36000,36000,22.6,2227,True,COMPLETED,
LDG-000159,LO-PS10-01069,nairobi,NBO-P02,2026-06-12 14:35:51,2026-06-12 14:56:59,32000,32000,21.13,2227,True,COMPLETED,
LDG-000160,LO-KOTPS1-01046,mombasa,MBA-P07,2026-06-12 13:09:33,2026-06-12 13:40:34,40000,40000,31.02,1698,False,COMPLETED,
LDG-000161,LO-PS10-01070,nairobi,NBO-P08,2026-06-12 18:24:41,2026-06-12 18:58:55,36000,36000,34.23,1594,False,COMPLETED,
LDG-000162,LO-PS10-01071,nairobi,NBO-P06,2026-06-12 13:03:52,2026-06-12 13:36:56,34000,34000,33.08,1574,False,COMPLETED,
LDG-000163,LO-PS28-01012,kisumu,KSM-P02,2026-06-12 12:57:49,2026-06-12 13:21:15,32000,32000,23.43,2227,True,COMPLETED,
LDG-000164,LO-KOTPS1-01047,mombasa,MBA-P02,2026-06-12 12:12:38,2026-06-12 12:48:16,38000,38000,35.63,1519,False,COMPLETED,
LDG-000165,LO-PS10-01072,nairobi,NBO-P01,2026-06-12 11:30:54,2026-06-12 12:02:16,38000,38000,31.37,1545,False,COMPLETED,
LDG-000166,LO-PS25-01026,nakuru,NKR-P04,2026-06-12 12:00:43,2026-06-12 12:25:29,28000,28000,24.77,1653,False,COMPLETED,
LDG-000167,LO-PS10-01073,nairobi,NBO-P02,2026-06-12 18:35:49,2026-06-12 19:05:18,28000,28000,29.49,1573,False,COMPLETED,
LDG-000168,LO-KOTPS1-01048,mombasa,MBA-P02,2026-06-12 18:21:56,2026-06-12 18:51:13,40000,40000,29.28,2227,True,COMPLETED,
LDG-000169,LO-PS10-01074,nairobi,NBO-P06,2026-06-12 12:03:34,2026-06-12 12:35:03,34000,34000,31.49,1519,False,COMPLETED,
LDG-000170,LO-PS25-01027,nakuru,NKR-P02,2026-06-12 15:39:57,2026-06-12 16:13:45,36000,36000,33.81,1500,False,COMPLETED,
LDG-000171,LO-PS27-01018,eldoret,ELD-P06,2026-06-12 12:08:14,2026-06-12 12:36:35,28000,28000,28.35,1688,False,COMPLETED,
LDG-000172,LO-PS28-01013,kisumu,KSM-P03,2026-06-12 15:16:10,2026-06-12 15:42:58,32000,32000,26.8,1603,False,COMPLETED,
LDG-000173,LO-PS28-01014,kisumu,KSM-P01,2026-06-12 15:04:59,2026-06-12 15:38:27,40000,40000,33.47,1670,False,COMPLETED,
LDG-000174,LO-KOTPS1-01050,mombasa,MBA-P03,2026-06-12 11:14:55,2026-06-12 11:43:43,28000,28000,28.79,1605,False,COMPLETED,
