decision_id,risk_event_id,depot_id,decision_timestamp,headline,autonomy_level,decision_status,selected_candidate_id,policy_rule_id,target_orders_count
DEC-00033,RSK-NAK-00043,nakuru,2026-06-26 12:00:43,Equipment Constraint Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00034,RSK-ELD-00044,eldoret,2026-06-26 16:00:21,Equipment Constraint Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00035,RSK-MOM-00045,mombasa,2026-06-26 19:00:15,Turnaround Risk Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00036,RSK-NAI-00046,nairobi,2026-06-27 00:00:30,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00037,RSK-ELD-00047,eldoret,2026-06-27 14:00:22,Capacity Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00038,RSK-NAI-00048,nairobi,2026-06-27 20:00:25,Turnaround Risk Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00039,RSK-NAI-00049,nairobi,2026-06-27 22:00:23,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00040,RSK-MOM-00050,mombasa,2026-06-28 10:00:26,Equipment Constraint Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00041,RSK-NAI-00051,nairobi,2026-06-28 14:00:27,Turnaround Risk Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00042,RSK-ELD-00052,eldoret,2026-06-29 16:00:33,Product Readiness Mitigation at PS27,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00043,RSK-NAI-00053,nairobi,2026-06-29 18:00:45,Turnaround Risk Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00044,RSK-NAK-00054,nakuru,2026-06-30 05:00:19,Queue Pressure Mitigation at PS25,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,6
DEC-00045,RSK-NAK-00055,nakuru,2026-06-30 07:00:17,Equipment Constraint Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00046,RSK-KIS-00058,kisumu,2026-06-30 18:00:31,Arrival Clustering Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00047,RSK-NAI-00060,nairobi,2026-07-01 10:00:41,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00048,RSK-ELD-00061,eldoret,2026-07-01 15:00:28,Turnaround Risk Mitigation at PS27,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
DEC-00049,RSK-NAI-00062,nairobi,2026-07-02 02:00:42,Equipment Constraint Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,6
DEC-00050,RSK-NAK-00063,nakuru,2026-07-02 07:00:35,Product Readiness Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00051,RSK-KIS-00064,kisumu,2026-07-02 10:00:29,Equipment Constraint Mitigation at PS28,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
DEC-00052,RSK-MOM-00065,mombasa,2026-07-02 14:00:15,Capacity Pressure Mitigation at KOT-PS1,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,6
DEC-00053,RSK-NAK-00066,nakuru,2026-07-02 19:00:40,Turnaround Risk Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00054,RSK-NAI-00067,nairobi,2026-07-03 01:00:40,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00055,RSK-NAI-00068,nairobi,2026-07-03 06:00:33,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00056,RSK-NAI-00069,nairobi,2026-07-03 14:00:43,Turnaround Risk Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00057,RSK-NAI-00070,nairobi,2026-07-03 16:00:34,Arrival Clustering Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00058,RSK-NAI-00071,nairobi,2026-07-03 23:00:24,Turnaround Risk Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,6
DEC-00059,RSK-NAI-00072,nairobi,2026-07-04 03:00:21,Capacity Pressure Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00060,RSK-KIS-00073,kisumu,2026-07-04 05:00:27,Arrival Clustering Mitigation at PS28,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,3
DEC-00061,RSK-NAK-00074,nakuru,2026-07-04 10:00:41,Turnaround Risk Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00062,RSK-ELD-00075,eldoret,2026-07-04 14:00:22,Equipment Constraint Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00063,RSK-NAI-00076,nairobi,2026-07-04 18:00:24,Arrival Clustering Mitigation at PS10,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,5
DEC-00064,RSK-MOM-00077,mombasa,2026-07-04 21:00:36,Queue Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00065,RSK-NAI-00078,nairobi,2026-07-05 03:00:42,Turnaround Risk Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,3
DEC-00066,RSK-MOM-00079,mombasa,2026-07-05 10:00:34,Turnaround Risk Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
DEC-00067,RSK-MOM-00080,mombasa,2026-07-05 18:00:30,Equipment Constraint Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00068,RSK-NAK-00081,nakuru,2026-07-05 23:00:39,Arrival Clustering Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00069,RSK-NAK-00082,nakuru,2026-07-06 02:00:33,Turnaround Risk Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00070,RSK-NAK-00083,nakuru,2026-07-06 11:00:40,Turnaround Risk Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00071,RSK-NAK-00084,nakuru,2026-07-07 02:00:39,Arrival Clustering Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00072,RSK-ELD-00085,eldoret,2026-07-07 04:00:16,Turnaround Risk Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00073,RSK-MOM-00086,mombasa,2026-07-07 08:00:20,Equipment Constraint Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,4
DEC-00074,RSK-MOM-00087,mombasa,2026-07-08 12:00:26,Turnaround Risk Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00075,RSK-MOM-00088,mombasa,2026-07-09 01:00:41,Queue Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00076,RSK-NAI-00089,nairobi,2026-07-09 11:00:31,Product Readiness Mitigation at PS10,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,3
DEC-00077,RSK-KIS-00090,kisumu,2026-07-09 19:00:15,Turnaround Risk Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00078,RSK-KIS-00091,kisumu,2026-07-10 01:00:28,Queue Pressure Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00079,RSK-KIS-00092,kisumu,2026-07-10 04:00:42,Turnaround Risk Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00080,RSK-MOM-00093,mombasa,2026-07-10 19:00:39,Capacity Pressure Mitigation at KOT-PS1,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,2
DEC-00081,RSK-NAI-00094,nairobi,2026-07-10 21:00:30,Arrival Clustering Mitigation at PS10,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,6
DEC-00082,RSK-NAI-00096,nairobi,2026-07-11 03:00:38,Arrival Clustering Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00083,RSK-ELD-00097,eldoret,2026-07-11 09:00:42,Arrival Clustering Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00084,RSK-NAI-00098,nairobi,2026-07-11 11:00:44,Capacity Pressure Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00085,RSK-MOM-00099,mombasa,2026-07-11 21:00:29,Turnaround Risk Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00086,RSK-NAK-00100,nakuru,2026-07-12 01:00:19,Equipment Constraint Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00087,RSK-NAI-00101,nairobi,2026-07-12 05:00:21,Queue Pressure Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,3
DEC-00088,RSK-ELD-00102,eldoret,2026-07-12 09:00:22,Arrival Clustering Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00089,RSK-MOM-00103,mombasa,2026-07-12 18:00:31,Equipment Constraint Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00090,RSK-MOM-00104,mombasa,2026-07-12 21:00:42,Equipment Constraint Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00091,RSK-ELD-00105,eldoret,2026-07-13 09:00:19,Arrival Clustering Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00092,RSK-NAI-00106,nairobi,2026-07-13 15:00:24,Product Readiness Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,3
DEC-00093,RSK-NAI-00109,nairobi,2026-07-14 08:00:39,Product Readiness Mitigation at PS10,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,7
DEC-00094,RSK-MOM-00110,mombasa,2026-07-15 12:00:31,Equipment Constraint Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00095,RSK-ELD-00112,eldoret,2026-07-15 19:00:36,Queue Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00096,RSK-NAI-00113,nairobi,2026-07-16 20:00:26,Product Readiness Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,3
DEC-00097,RSK-NAK-00114,nakuru,2026-07-17 00:00:35,Turnaround Risk Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00098,RSK-ELD-00116,eldoret,2026-07-17 08:00:24,Equipment Constraint Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00099,RSK-MOM-00118,mombasa,2026-07-17 22:00:33,Arrival Clustering Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
DEC-00100,RSK-MOM-00119,mombasa,2026-07-18 01:00:37,Queue Pressure Mitigation at KOT-PS1,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,4
DEC-00101,RSK-MOM-00121,mombasa,2026-07-18 17:00:27,Product Readiness Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
DEC-00102,RSK-MOM-00122,mombasa,2026-07-19 03:00:25,Capacity Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00103,RSK-NAI-00123,nairobi,2026-07-19 06:00:20,Queue Pressure Mitigation at PS10,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,4
DEC-00104,RSK-NAI-00124,nairobi,2026-07-19 12:00:32,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00105,RSK-MOM-00126,mombasa,2026-07-19 21:00:15,Capacity Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00106,RSK-KIS-00128,kisumu,2026-07-20 19:00:30,Capacity Pressure Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00107,RSK-KIS-00129,kisumu,2026-07-20 22:00:21,Queue Pressure Mitigation at PS28,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,2
DEC-00108,RSK-NAI-00130,nairobi,2026-07-21 02:00:44,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00109,RSK-KIS-00131,kisumu,2026-07-21 15:00:31,Product Readiness Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00110,RSK-MOM-00132,mombasa,2026-07-21 19:00:18,Product Readiness Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00111,RSK-NAI-00134,nairobi,2026-07-22 01:00:32,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00112,RSK-MOM-00135,mombasa,2026-07-22 14:00:35,Capacity Pressure Mitigation at KOT-PS1,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,5
DEC-00113,RSK-KIS-00136,kisumu,2026-07-22 23:00:22,Arrival Clustering Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00114,RSK-NAI-00137,nairobi,2026-07-24 02:00:17,Capacity Pressure Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
DEC-00115,RSK-NAK-00138,nakuru,2026-07-24 08:00:34,Arrival Clustering Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00116,RSK-NAI-00139,nairobi,2026-07-24 11:00:40,Queue Pressure Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00117,RSK-NAK-00140,nakuru,2026-07-24 15:00:40,Arrival Clustering Mitigation at PS25,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
DEC-00118,RSK-KIS-00141,kisumu,2026-07-25 16:00:36,Product Readiness Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00119,RSK-NAI-00145,nairobi,2026-07-26 10:00:37,Product Readiness Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00120,RSK-ELD-00146,eldoret,2026-07-27 22:00:37,Queue Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00121,RSK-MOM-00147,mombasa,2026-07-28 00:00:38,Product Readiness Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00122,RSK-MOM-00149,mombasa,2026-07-28 11:00:40,Turnaround Risk Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
DEC-00123,RSK-MOM-00150,mombasa,2026-07-28 16:00:38,Product Readiness Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00124,RSK-NAI-00151,nairobi,2026-07-28 18:00:43,Product Readiness Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,3
DEC-00125,RSK-ELD-00153,eldoret,2026-07-29 04:00:25,Arrival Clustering Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00126,RSK-MOM-00154,mombasa,2026-07-29 06:00:42,Product Readiness Mitigation at KOT-PS1,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,5
DEC-00127,RSK-MOM-00155,mombasa,2026-07-29 11:00:41,Product Readiness Mitigation at KOT-PS1,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,5
DEC-00128,RSK-NAI-00156,nairobi,2026-07-30 18:00:42,Capacity Pressure Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00129,RSK-ELD-00157,eldoret,2026-07-31 09:00:37,Capacity Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00130,RSK-NAK-00158,nakuru,2026-07-31 12:00:17,Equipment Constraint Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00131,RSK-MOM-00159,mombasa,2026-08-01 02:00:38,Arrival Clustering Mitigation at KOT-PS1,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,8
DEC-00132,RSK-NAI-00160,nairobi,2026-08-01 09:00:18,Turnaround Risk Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00133,RSK-MOM-00161,mombasa,2026-08-01 15:00:22,Capacity Pressure Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,6
DEC-00134,RSK-ELD-00163,eldoret,2026-08-02 03:00:18,Turnaround Risk Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00135,RSK-NAK-00164,nakuru,2026-08-02 11:00:41,Capacity Pressure Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00136,RSK-NAI-00165,nairobi,2026-08-02 23:00:31,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00137,RSK-NAI-00166,nairobi,2026-08-03 06:00:28,Queue Pressure Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00138,RSK-ELD-00167,eldoret,2026-08-03 12:00:30,Equipment Constraint Mitigation at PS27,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00139,RSK-MOM-00168,mombasa,2026-08-04 03:00:31,Product Readiness Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00140,RSK-KIS-00170,kisumu,2026-08-04 14:00:29,Arrival Clustering Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00141,RSK-ELD-00173,eldoret,2026-08-05 07:00:16,Queue Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00142,RSK-NAI-00175,nairobi,2026-08-05 15:00:45,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00143,RSK-KIS-00176,kisumu,2026-08-05 19:00:28,Capacity Pressure Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00144,RSK-ELD-00177,eldoret,2026-08-06 00:00:34,Product Readiness Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00145,RSK-MOM-00178,mombasa,2026-08-06 02:00:26,Queue Pressure Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,4
DEC-00146,RSK-MOM-00179,mombasa,2026-08-06 07:00:18,Product Readiness Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00147,RSK-ELD-00180,eldoret,2026-08-06 13:00:30,Arrival Clustering Mitigation at PS27,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,8
DEC-00148,RSK-NAI-00181,nairobi,2026-08-06 19:00:31,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00149,RSK-MOM-00182,mombasa,2026-08-06 22:00:38,Queue Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00150,RSK-ELD-00184,eldoret,2026-08-07 12:00:33,Equipment Constraint Mitigation at PS27,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,6
DEC-00151,RSK-NAK-00185,nakuru,2026-08-07 16:00:44,Equipment Constraint Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00152,RSK-MOM-00186,mombasa,2026-08-08 00:00:28,Product Readiness Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
