notification_id,order_id,omc_id,depot_id,recipient_role,notification_type,priority,title,message,previous_timing,new_timing,timestamp,requires_acknowledgement,is_acknowledged,acknowledged_at
NOTIF-00011,LO-PS27-8322,rubis,eldoret,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 33m turnaround delay.,+44m projected delay,+11m adjusted window,2026-06-18 00:00:41,False,True,2026-06-18 00:02:41
NOTIF-00012,LO-KOTPS1-4190,hass,mombasa,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 28m turnaround delay.,+41m projected delay,+13m adjusted window,2026-06-18 12:00:39,False,True,2026-06-18 12:02:39
NOTIF-00013,LO-PS28-2437,lakeoil,kisumu,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 14m turnaround delay.,+19m projected delay,+5m adjusted window,2026-06-19 00:00:26,False,True,2026-06-19 00:02:26
NOTIF-00014,LO-PS10-1460,totalenergies,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+12m projected delay,+5m adjusted window,2026-06-20 08:00:22,False,True,2026-06-20 08:02:22
NOTIF-00015,LO-PS10-6701,hass,nairobi,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+12m projected delay,+4m adjusted window,2026-06-21 05:00:25,False,True,2026-06-21 05:02:25
NOTIF-00016,LO-PS10-1023,rubis,nairobi,OMC,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+16m projected delay,+6m adjusted window,2026-06-21 10:00:21,False,True,2026-06-21 10:02:21
NOTIF-00017,LO-PS25-9540,totalenergies,nakuru,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 19m turnaround delay.,+31m projected delay,+12m adjusted window,2026-06-22 03:00:43,False,True,2026-06-22 03:02:43
NOTIF-00018,LO-PS27-8371,vivo,eldoret,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 15m turnaround delay.,+26m projected delay,+11m adjusted window,2026-06-22 11:00:33,False,True,2026-06-22 11:02:33
NOTIF-00019,LO-PS10-8925,vivo,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 26m turnaround delay.,+45m projected delay,+19m adjusted window,2026-06-22 18:00:34,False,True,2026-06-22 18:02:34
NOTIF-00020,LO-PS25-8835,ola,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 18m turnaround delay.,+30m projected delay,+12m adjusted window,2026-06-24 02:00:23,False,True,2026-06-24 02:02:23
NOTIF-00021,LO-PS10-4160,lakeoil,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 9m turnaround delay.,+14m projected delay,+5m adjusted window,2026-06-24 04:00:35,False,True,2026-06-24 04:02:35
NOTIF-00022,LO-PS27-4551,petrocity,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+13m projected delay,+6m adjusted window,2026-06-24 10:00:28,False,True,2026-06-24 10:02:28
NOTIF-00023,LO-KOTPS1-5383,hass,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 13m turnaround delay.,+20m projected delay,+7m adjusted window,2026-06-25 02:00:21,False,True,2026-06-25 02:02:21
NOTIF-00024,LO-PS25-6538,vivo,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 22m turnaround delay.,+35m projected delay,+13m adjusted window,2026-06-26 12:00:46,False,True,2026-06-26 12:02:46
NOTIF-00025,LO-PS27-7453,totalenergies,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+12m projected delay,+4m adjusted window,2026-06-26 16:00:23,False,True,2026-06-26 16:02:23
NOTIF-00026,LO-PS10-6169,petrocity,nairobi,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 27m turnaround delay.,+40m projected delay,+13m adjusted window,2026-06-27 00:00:35,False,True,2026-06-27 00:02:35
NOTIF-00027,LO-PS27-4585,totalenergies,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 16m turnaround delay.,+27m projected delay,+11m adjusted window,2026-06-27 14:00:24,False,True,2026-06-27 14:02:24
NOTIF-00028,LO-PS10-3566,rubis,nairobi,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 29m turnaround delay.,+38m projected delay,+9m adjusted window,2026-06-27 20:00:27,False,True,2026-06-27 20:02:27
NOTIF-00029,LO-PS10-2303,rubis,nairobi,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 13m turnaround delay.,+18m projected delay,+5m adjusted window,2026-06-27 22:00:27,False,True,2026-06-27 22:02:27
NOTIF-00030,LO-KOTPS1-9926,petrocity,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 4m turnaround delay.,+7m projected delay,+3m adjusted window,2026-06-28 10:00:28,False,True,2026-06-28 10:02:28
NOTIF-00031,LO-PS10-1494,vivo,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 21m turnaround delay.,+28m projected delay,+7m adjusted window,2026-06-28 14:00:32,False,True,2026-06-28 14:02:32
NOTIF-00032,LO-PS25-4935,petrocity,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 3m turnaround delay.,+6m projected delay,+3m adjusted window,2026-06-30 07:00:20,False,True,2026-06-30 07:02:20
NOTIF-00033,LO-PS28-4351,hass,kisumu,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 16m turnaround delay.,+26m projected delay,+10m adjusted window,2026-06-30 18:00:35,False,True,2026-06-30 18:02:35
NOTIF-00034,LO-PS10-9661,lakeoil,nairobi,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+20m projected delay,+8m adjusted window,2026-07-01 10:00:45,False,True,2026-07-01 10:02:45
NOTIF-00035,LO-PS25-5757,totalenergies,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 28m turnaround delay.,+43m projected delay,+15m adjusted window,2026-07-02 07:00:40,False,True,2026-07-02 07:02:40
NOTIF-00036,LO-PS25-8998,rubis,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+16m projected delay,+6m adjusted window,2026-07-02 19:00:44,False,True,2026-07-02 19:02:44
NOTIF-00037,LO-PS10-8611,lakeoil,nairobi,DRIVER,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 9m turnaround delay.,+13m projected delay,+4m adjusted window,2026-07-03 01:00:43,False,True,2026-07-03 01:02:43
NOTIF-00038,LO-PS10-1299,lakeoil,nairobi,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+17m projected delay,+7m adjusted window,2026-07-03 06:00:35,False,True,2026-07-03 06:02:35
NOTIF-00039,LO-PS10-1425,ola,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+10m projected delay,+3m adjusted window,2026-07-03 14:00:48,False,True,2026-07-03 14:02:48
NOTIF-00040,LO-PS10-1734,ola,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+20m projected delay,+8m adjusted window,2026-07-04 03:00:24,False,True,2026-07-04 03:02:24
NOTIF-00041,LO-PS25-8716,vivo,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 22m turnaround delay.,+33m projected delay,+11m adjusted window,2026-07-04 10:00:43,False,True,2026-07-04 10:02:43
NOTIF-00042,LO-PS27-5727,vivo,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 27m turnaround delay.,+35m projected delay,+8m adjusted window,2026-07-04 14:00:25,False,True,2026-07-04 14:02:25
NOTIF-00043,LO-KOTPS1-9544,ola,mombasa,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 22m turnaround delay.,+30m projected delay,+8m adjusted window,2026-07-04 21:00:40,False,True,2026-07-04 21:02:40
NOTIF-00044,LO-KOTPS1-9029,lakeoil,mombasa,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+18m projected delay,+7m adjusted window,2026-07-05 18:00:32,False,True,2026-07-05 18:02:32
NOTIF-00045,LO-PS25-7252,ola,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+13m projected delay,+6m adjusted window,2026-07-05 23:00:41,False,True,2026-07-05 23:02:41
NOTIF-00046,LO-PS25-4732,rubis,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+18m projected delay,+7m adjusted window,2026-07-06 02:00:38,False,True,2026-07-06 02:02:38
NOTIF-00047,LO-PS25-2707,rubis,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+12m projected delay,+4m adjusted window,2026-07-06 11:00:44,False,True,2026-07-06 11:02:44
NOTIF-00048,LO-PS25-7719,petrocity,nakuru,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 16m turnaround delay.,+20m projected delay,+4m adjusted window,2026-07-07 02:00:44,False,True,2026-07-07 02:02:44
NOTIF-00049,LO-PS27-2396,totalenergies,eldoret,OMC,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 17m turnaround delay.,+27m projected delay,+10m adjusted window,2026-07-07 04:00:18,False,True,2026-07-07 04:02:18
NOTIF-00050,LO-KOTPS1-4708,totalenergies,mombasa,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+15m projected delay,+4m adjusted window,2026-07-08 12:00:28,False,True,2026-07-08 12:02:28
NOTIF-00051,LO-KOTPS1-3452,rubis,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 9m turnaround delay.,+16m projected delay,+7m adjusted window,2026-07-09 01:00:45,False,True,2026-07-09 01:02:45
NOTIF-00052,LO-PS28-8788,totalenergies,kisumu,DRIVER,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+11m projected delay,+4m adjusted window,2026-07-09 19:00:18,False,True,2026-07-09 19:02:18
NOTIF-00053,LO-PS28-8539,ola,kisumu,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+16m projected delay,+5m adjusted window,2026-07-10 01:00:31,False,True,2026-07-10 01:02:31
NOTIF-00054,LO-PS28-8522,petrocity,kisumu,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+18m projected delay,+7m adjusted window,2026-07-10 04:00:44,False,True,2026-07-10 04:02:44
NOTIF-00055,LO-PS10-9842,ola,nairobi,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 28m turnaround delay.,+36m projected delay,+8m adjusted window,2026-07-10 21:00:33,False,True,2026-07-10 21:02:33
NOTIF-00056,LO-PS27-9472,totalenergies,eldoret,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+18m projected delay,+6m adjusted window,2026-07-11 09:00:46,False,True,2026-07-11 09:02:46
NOTIF-00057,LO-PS10-6055,petrocity,nairobi,DRIVER,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+15m projected delay,+5m adjusted window,2026-07-11 11:00:47,False,True,2026-07-11 11:02:47
NOTIF-00058,LO-KOTPS1-1049,vivo,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+19m projected delay,+7m adjusted window,2026-07-11 21:00:31,False,True,2026-07-11 21:02:31
NOTIF-00059,LO-PS25-8762,hass,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 24m turnaround delay.,+31m projected delay,+7m adjusted window,2026-07-12 01:00:23,False,True,2026-07-12 01:02:23
NOTIF-00060,LO-PS27-4040,lakeoil,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 20m turnaround delay.,+30m projected delay,+10m adjusted window,2026-07-12 09:00:25,False,True,2026-07-12 09:02:25
NOTIF-00061,LO-KOTPS1-4458,lakeoil,mombasa,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+16m projected delay,+6m adjusted window,2026-07-12 21:00:45,False,True,2026-07-12 21:02:45
NOTIF-00062,LO-PS27-6642,ola,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 14m turnaround delay.,+20m projected delay,+6m adjusted window,2026-07-13 09:00:23,False,True,2026-07-13 09:02:23
NOTIF-00063,LO-KOTPS1-7408,ola,mombasa,DRIVER,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+12m projected delay,+4m adjusted window,2026-07-15 12:00:34,False,True,2026-07-15 12:02:34
NOTIF-00064,LO-PS27-1248,lakeoil,eldoret,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 7m turnaround delay.,+13m projected delay,+6m adjusted window,2026-07-15 19:00:38,False,True,2026-07-15 19:02:38
NOTIF-00065,LO-PS25-9531,vivo,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+15m projected delay,+7m adjusted window,2026-07-17 00:00:38,False,True,2026-07-17 00:02:38
NOTIF-00066,LO-PS27-3373,petrocity,eldoret,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+16m projected delay,+5m adjusted window,2026-07-17 08:00:27,False,True,2026-07-17 08:02:27
NOTIF-00067,LO-KOTPS1-7926,hass,mombasa,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 15m turnaround delay.,+26m projected delay,+11m adjusted window,2026-07-18 01:00:41,False,True,2026-07-18 01:02:41
NOTIF-00068,LO-KOTPS1-1493,petrocity,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 5m turnaround delay.,+10m projected delay,+5m adjusted window,2026-07-19 03:00:27,False,True,2026-07-19 03:02:27
NOTIF-00069,LO-PS10-2882,totalenergies,nairobi,OMC,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 16m turnaround delay.,+25m projected delay,+9m adjusted window,2026-07-19 06:00:23,False,True,2026-07-19 06:02:23
NOTIF-00070,LO-PS10-8375,vivo,nairobi,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 5m turnaround delay.,+9m projected delay,+4m adjusted window,2026-07-19 12:00:34,False,True,2026-07-19 12:02:34
NOTIF-00071,LO-KOTPS1-3618,petrocity,mombasa,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+12m projected delay,+4m adjusted window,2026-07-19 21:00:18,False,True,2026-07-19 21:02:18
NOTIF-00072,LO-PS28-3199,vivo,kisumu,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 6m turnaround delay.,+10m projected delay,+4m adjusted window,2026-07-20 19:00:33,False,True,2026-07-20 19:02:33
NOTIF-00073,LO-PS28-7165,petrocity,kisumu,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+15m projected delay,+5m adjusted window,2026-07-20 22:00:26,False,True,2026-07-20 22:02:26
NOTIF-00074,LO-PS10-5375,totalenergies,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 9m turnaround delay.,+15m projected delay,+6m adjusted window,2026-07-21 02:00:49,False,True,2026-07-21 02:02:49
NOTIF-00075,LO-PS28-5763,vivo,kisumu,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 29m turnaround delay.,+39m projected delay,+10m adjusted window,2026-07-21 15:00:33,False,True,2026-07-21 15:02:33
NOTIF-00076,LO-PS10-5794,rubis,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 4m turnaround delay.,+6m projected delay,+2m adjusted window,2026-07-22 01:00:35,False,True,2026-07-22 01:02:35
NOTIF-00077,LO-PS28-6423,ola,kisumu,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 8m turnaround delay.,+13m projected delay,+5m adjusted window,2026-07-22 23:00:25,False,True,2026-07-22 23:02:25
NOTIF-00078,LO-PS25-7480,hass,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+18m projected delay,+8m adjusted window,2026-07-24 08:00:39,False,True,2026-07-24 08:02:39
NOTIF-00079,LO-PS28-8128,totalenergies,kisumu,OMC,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Kisumu Depot (PS28),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+16m projected delay,+4m adjusted window,2026-07-25 16:00:39,False,True,2026-07-25 16:02:39
NOTIF-00080,LO-PS27-3996,petrocity,eldoret,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 29m turnaround delay.,+41m projected delay,+12m adjusted window,2026-07-27 22:00:40,False,True,2026-07-27 22:02:40
NOTIF-00081,LO-KOTPS1-5737,petrocity,mombasa,OMC,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 23m turnaround delay.,+30m projected delay,+7m adjusted window,2026-07-28 00:00:43,False,True,2026-07-28 00:02:43
NOTIF-00082,LO-KOTPS1-3072,hass,mombasa,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+15m projected delay,+4m adjusted window,2026-07-28 16:00:40,False,True,2026-07-28 16:02:40
NOTIF-00083,LO-PS27-5439,vivo,eldoret,OMC,INSTRUCTION_UPDATE,INFO,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 9m turnaround delay.,+12m projected delay,+3m adjusted window,2026-07-29 04:00:27,False,True,2026-07-29 04:02:27
NOTIF-00084,LO-KOTPS1-6215,totalenergies,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 10m turnaround delay.,+16m projected delay,+6m adjusted window,2026-07-29 06:00:47,False,True,2026-07-29 06:02:47
NOTIF-00085,LO-KOTPS1-5732,ola,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+21m projected delay,+9m adjusted window,2026-07-29 11:00:45,False,True,2026-07-29 11:02:45
