risk_event_id,depot_id,detected_at,risk_category,severity,predicted_turnaround_min,baseline_turnaround_min,dwell_delta_min,exposure_at_risk_kes,primary_root_cause,affected_orders_count,status
RSK-MOM-00045,mombasa,2026-06-26 19:00:00,TURNAROUND_RISK,MEDIUM,83,72,11,320810,Gantry Queue Congestion + Slow Metering,7,MITIGATED
RSK-NAI-00046,nairobi,2026-06-27 00:00:00,PRODUCT_READINESS,HIGH,105,65,40,1333280,Tank Recertification Hold,8,MITIGATED
RSK-ELD-00047,eldoret,2026-06-27 14:00:00,CAPACITY_PRESSURE,HIGH,77,50,27,562500,Loading Position Offline for Maintenance,5,MONITORING
RSK-NAI-00048,nairobi,2026-06-27 20:00:00,TURNAROUND_RISK,HIGH,103,65,38,1266640,Gantry Queue Congestion + Slow Metering,8,MITIGATED
RSK-NAI-00049,nairobi,2026-06-27 22:00:00,PRODUCT_READINESS,HIGH,83,65,18,300000,Tank Recertification Hold,4,MITIGATED
RSK-MOM-00050,mombasa,2026-06-28 10:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,79,72,7,145800,Flow Meter Temperature Sensor Drift,5,MITIGATED
RSK-NAI-00051,nairobi,2026-06-28 14:00:00,TURNAROUND_RISK,HIGH,93,65,28,466640,Gantry Queue Congestion + Slow Metering,4,MONITORING
RSK-ELD-00052,eldoret,2026-06-29 16:00:00,PRODUCT_READINESS,MEDIUM,56,50,6,175000,Tank Recertification Hold,7,MITIGATED
RSK-NAI-00053,nairobi,2026-06-29 18:00:00,TURNAROUND_RISK,MEDIUM,76,65,11,320810,Gantry Queue Congestion + Slow Metering,7,MITIGATED
RSK-NAK-00054,nakuru,2026-06-30 05:00:00,QUEUE_PRESSURE,MEDIUM,67,58,9,225000,Clustered Transporter Arrivals,6,MITIGATED
RSK-NAK-00055,nakuru,2026-06-30 07:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,64,58,6,125000,Flow Meter Temperature Sensor Drift,5,MITIGATED
RSK-MOM-00056,mombasa,2026-06-30 11:00:00,ARRIVAL_CLUSTERING,LOW,82,72,10,291620,Morning Peak Arrival Surge,7,MITIGATED
RSK-MOM-00057,mombasa,2026-06-30 16:00:00,QUEUE_PRESSURE,LOW,78,72,6,100000,Clustered Transporter Arrivals,4,MITIGATED
RSK-KIS-00058,kisumu,2026-06-30 18:00:00,ARRIVAL_CLUSTERING,HIGH,71,45,26,649980,Morning Peak Arrival Surge,6,MONITORING
RSK-MOM-00059,mombasa,2026-07-01 02:00:00,TURNAROUND_RISK,LOW,85,72,13,162480,Gantry Queue Congestion + Slow Metering,3,MITIGATED
RSK-NAI-00060,nairobi,2026-07-01 10:00:00,PRODUCT_READINESS,MEDIUM,85,65,20,333320,Tank Recertification Hold,4,MITIGATED
RSK-ELD-00061,eldoret,2026-07-01 15:00:00,TURNAROUND_RISK,HIGH,83,50,33,687500,Gantry Queue Congestion + Slow Metering,5,MONITORING
RSK-NAI-00062,nairobi,2026-07-02 02:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,80,65,15,375000,Flow Meter Temperature Sensor Drift,6,MITIGATED
RSK-NAK-00063,nakuru,2026-07-02 07:00:00,PRODUCT_READINESS,HIGH,101,58,43,716640,Tank Recertification Hold,4,MONITORING
RSK-KIS-00064,kisumu,2026-07-02 10:00:00,EQUIPMENT_CONSTRAINT,HIGH,81,45,36,1200000,Flow Meter Temperature Sensor Drift,8,MITIGATED
RSK-MOM-00065,mombasa,2026-07-02 14:00:00,CAPACITY_PRESSURE,HIGH,99,72,27,675000,Loading Position Offline for Maintenance,6,MITIGATED
RSK-NAK-00066,nakuru,2026-07-02 19:00:00,TURNAROUND_RISK,MEDIUM,74,58,16,133320,Gantry Queue Congestion + Slow Metering,2,MITIGATED
RSK-NAI-00067,nairobi,2026-07-03 01:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,78,65,13,162480,Flow Meter Temperature Sensor Drift,3,MITIGATED
RSK-NAI-00068,nairobi,2026-07-03 06:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,82,65,17,354150,Flow Meter Temperature Sensor Drift,5,MITIGATED
RSK-NAI-00069,nairobi,2026-07-03 14:00:00,TURNAROUND_RISK,MEDIUM,75,65,10,166640,Gantry Queue Congestion + Slow Metering,4,MITIGATED
RSK-NAI-00070,nairobi,2026-07-03 16:00:00,ARRIVAL_CLUSTERING,MEDIUM,85,65,20,166660,Morning Peak Arrival Surge,2,MITIGATED
RSK-NAI-00071,nairobi,2026-07-03 23:00:00,TURNAROUND_RISK,HIGH,105,65,40,999960,Gantry Queue Congestion + Slow Metering,6,MITIGATED
RSK-NAI-00072,nairobi,2026-07-04 03:00:00,CAPACITY_PRESSURE,MEDIUM,85,65,20,416650,Loading Position Offline for Maintenance,5,MITIGATED
RSK-KIS-00073,kisumu,2026-07-04 05:00:00,ARRIVAL_CLUSTERING,MEDIUM,55,45,10,124980,Morning Peak Arrival Surge,3,MITIGATED
RSK-NAK-00074,nakuru,2026-07-04 10:00:00,TURNAROUND_RISK,HIGH,91,58,33,412500,Gantry Queue Congestion + Slow Metering,3,MITIGATED
RSK-ELD-00075,eldoret,2026-07-04 14:00:00,EQUIPMENT_CONSTRAINT,HIGH,85,50,35,874980,Flow Meter Temperature Sensor Drift,6,MITIGATED
RSK-NAI-00076,nairobi,2026-07-04 18:00:00,ARRIVAL_CLUSTERING,MEDIUM,80,65,15,312500,Morning Peak Arrival Surge,5,MITIGATED
RSK-MOM-00077,mombasa,2026-07-04 21:00:00,QUEUE_PRESSURE,HIGH,102,72,30,500000,Clustered Transporter Arrivals,4,MITIGATED
RSK-NAI-00078,nairobi,2026-07-05 03:00:00,TURNAROUND_RISK,HIGH,90,65,25,312480,Gantry Queue Congestion + Slow Metering,3,MITIGATED
RSK-MOM-00079,mombasa,2026-07-05 10:00:00,TURNAROUND_RISK,MEDIUM,80,72,8,266640,Gantry Queue Congestion + Slow Metering,8,MITIGATED
RSK-MOM-00080,mombasa,2026-07-05 18:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,90,72,18,300000,Flow Meter Temperature Sensor Drift,4,MITIGATED
RSK-NAK-00081,nakuru,2026-07-05 23:00:00,ARRIVAL_CLUSTERING,MEDIUM,71,58,13,216640,Morning Peak Arrival Surge,4,MITIGATED
RSK-NAK-00082,nakuru,2026-07-06 02:00:00,TURNAROUND_RISK,MEDIUM,76,58,18,600000,Gantry Queue Congestion + Slow Metering,8,MITIGATED
RSK-NAK-00083,nakuru,2026-07-06 11:00:00,TURNAROUND_RISK,MEDIUM,70,58,12,250000,Gantry Queue Congestion + Slow Metering,5,MITIGATED
RSK-NAK-00084,nakuru,2026-07-07 02:00:00,ARRIVAL_CLUSTERING,MEDIUM,78,58,20,666640,Morning Peak Arrival Surge,8,MONITORING
RSK-ELD-00085,eldoret,2026-07-07 04:00:00,TURNAROUND_RISK,HIGH,77,50,27,562500,Gantry Queue Congestion + Slow Metering,5,MITIGATED
RSK-MOM-00086,mombasa,2026-07-07 08:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,83,72,11,183320,Flow Meter Temperature Sensor Drift,4,MITIGATED
RSK-MOM-00087,mombasa,2026-07-08 12:00:00,TURNAROUND_RISK,MEDIUM,87,72,15,375000,Gantry Queue Congestion + Slow Metering,6,MITIGATED
RSK-MOM-00088,mombasa,2026-07-09 01:00:00,QUEUE_PRESSURE,MEDIUM,88,72,16,266640,Clustered Transporter Arrivals,4,MONITORING
RSK-NAI-00089,nairobi,2026-07-09 11:00:00,PRODUCT_READINESS,HIGH,83,65,18,225000,Tank Recertification Hold,3,MITIGATED
RSK-KIS-00090,kisumu,2026-07-09 19:00:00,TURNAROUND_RISK,MEDIUM,56,45,11,274980,Gantry Queue Congestion + Slow Metering,6,MITIGATED
RSK-KIS-00091,kisumu,2026-07-10 01:00:00,QUEUE_PRESSURE,MEDIUM,61,45,16,333300,Clustered Transporter Arrivals,5,MITIGATED
RSK-KIS-00092,kisumu,2026-07-10 04:00:00,TURNAROUND_RISK,MEDIUM,63,45,18,300000,Gantry Queue Congestion + Slow Metering,4,MITIGATED
RSK-MOM-00093,mombasa,2026-07-10 19:00:00,CAPACITY_PRESSURE,HIGH,106,72,34,283320,Loading Position Offline for Maintenance,2,MITIGATED
RSK-NAI-00094,nairobi,2026-07-10 21:00:00,ARRIVAL_CLUSTERING,CRITICAL,101,65,36,900000,Morning Peak Arrival Surge,6,MITIGATED
RSK-NAI-00095,nairobi,2026-07-11 01:00:00,CAPACITY_PRESSURE,LOW,83,65,18,375000,Loading Position Offline for Maintenance,5,MONITORING
RSK-NAI-00096,nairobi,2026-07-11 03:00:00,ARRIVAL_CLUSTERING,HIGH,109,65,44,1283310,Morning Peak Arrival Surge,7,MITIGATED
RSK-ELD-00097,eldoret,2026-07-11 09:00:00,ARRIVAL_CLUSTERING,MEDIUM,68,50,18,225000,Morning Peak Arrival Surge,3,MITIGATED
RSK-NAI-00098,nairobi,2026-07-11 11:00:00,CAPACITY_PRESSURE,MEDIUM,80,65,15,312500,Loading Position Offline for Maintenance,5,MITIGATED
RSK-MOM-00099,mombasa,2026-07-11 21:00:00,TURNAROUND_RISK,MEDIUM,91,72,19,474960,Gantry Queue Congestion + Slow Metering,6,MITIGATED
RSK-NAK-00100,nakuru,2026-07-12 01:00:00,EQUIPMENT_CONSTRAINT,HIGH,89,58,31,258320,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-NAI-00101,nairobi,2026-07-12 05:00:00,QUEUE_PRESSURE,HIGH,77,65,12,150000,Clustered Transporter Arrivals,3,MITIGATED
RSK-ELD-00102,eldoret,2026-07-12 09:00:00,ARRIVAL_CLUSTERING,HIGH,80,50,30,875000,Morning Peak Arrival Surge,7,MITIGATED
RSK-MOM-00103,mombasa,2026-07-12 18:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,92,72,20,166660,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-MOM-00104,mombasa,2026-07-12 21:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,88,72,16,333300,Flow Meter Temperature Sensor Drift,5,MITIGATED
RSK-ELD-00105,eldoret,2026-07-13 09:00:00,ARRIVAL_CLUSTERING,MEDIUM,70,50,20,333320,Morning Peak Arrival Surge,4,MITIGATED
RSK-NAI-00106,nairobi,2026-07-13 15:00:00,PRODUCT_READINESS,MEDIUM,84,65,19,237480,Tank Recertification Hold,3,MITIGATED
RSK-MOM-00107,mombasa,2026-07-14 01:00:00,TURNAROUND_RISK,LOW,84,72,12,400000,Gantry Queue Congestion + Slow Metering,8,MITIGATED
RSK-MOM-00108,mombasa,2026-07-14 03:00:00,QUEUE_PRESSURE,LOW,82,72,10,83320,Clustered Transporter Arrivals,2,MITIGATED
RSK-NAI-00109,nairobi,2026-07-14 08:00:00,PRODUCT_READINESS,MEDIUM,80,65,15,437500,Tank Recertification Hold,7,MITIGATED
RSK-MOM-00110,mombasa,2026-07-15 12:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,84,72,12,150000,Flow Meter Temperature Sensor Drift,3,MITIGATED
RSK-MOM-00111,mombasa,2026-07-15 14:00:00,EQUIPMENT_CONSTRAINT,LOW,90,72,18,525000,Flow Meter Temperature Sensor Drift,7,MITIGATED
RSK-ELD-00112,eldoret,2026-07-15 19:00:00,QUEUE_PRESSURE,MEDIUM,63,50,13,162480,Clustered Transporter Arrivals,3,MITIGATED
RSK-NAI-00113,nairobi,2026-07-16 20:00:00,PRODUCT_READINESS,HIGH,102,65,37,462480,Tank Recertification Hold,3,MITIGATED
RSK-NAK-00114,nakuru,2026-07-17 00:00:00,TURNAROUND_RISK,MEDIUM,73,58,15,250000,Gantry Queue Congestion + Slow Metering,4,MITIGATED
RSK-KIS-00115,kisumu,2026-07-17 05:00:00,CAPACITY_PRESSURE,LOW,51,45,6,200000,Loading Position Offline for Maintenance,8,MITIGATED
RSK-ELD-00116,eldoret,2026-07-17 08:00:00,EQUIPMENT_CONSTRAINT,HIGH,66,50,16,466620,Flow Meter Temperature Sensor Drift,7,MITIGATED
RSK-ELD-00117,eldoret,2026-07-17 13:00:00,TURNAROUND_RISK,LOW,59,50,9,112500,Gantry Queue Congestion + Slow Metering,3,MONITORING
RSK-MOM-00118,mombasa,2026-07-17 22:00:00,ARRIVAL_CLUSTERING,HIGH,84,72,12,250000,Morning Peak Arrival Surge,5,MITIGATED
RSK-MOM-00119,mombasa,2026-07-18 01:00:00,QUEUE_PRESSURE,CRITICAL,98,72,26,433320,Clustered Transporter Arrivals,4,MITIGATED
RSK-MOM-00120,mombasa,2026-07-18 04:00:00,EQUIPMENT_CONSTRAINT,LOW,87,72,15,250000,Flow Meter Temperature Sensor Drift,4,MONITORING
RSK-MOM-00121,mombasa,2026-07-18 17:00:00,PRODUCT_READINESS,MEDIUM,79,72,7,233280,Tank Recertification Hold,8,MITIGATED
RSK-MOM-00122,mombasa,2026-07-19 03:00:00,CAPACITY_PRESSURE,MEDIUM,82,72,10,249960,Loading Position Offline for Maintenance,6,MITIGATED
RSK-NAI-00123,nairobi,2026-07-19 06:00:00,QUEUE_PRESSURE,CRITICAL,90,65,25,416640,Clustered Transporter Arrivals,4,MONITORING
RSK-NAI-00124,nairobi,2026-07-19 12:00:00,PRODUCT_READINESS,MEDIUM,74,65,9,150000,Tank Recertification Hold,4,MITIGATED
RSK-NAI-00125,nairobi,2026-07-19 16:00:00,ARRIVAL_CLUSTERING,LOW,82,65,17,212490,Morning Peak Arrival Surge,3,MITIGATED
RSK-MOM-00126,mombasa,2026-07-19 21:00:00,CAPACITY_PRESSURE,MEDIUM,84,72,12,150000,Loading Position Offline for Maintenance,3,MITIGATED
RSK-NAI-00127,nairobi,2026-07-20 04:00:00,TURNAROUND_RISK,LOW,79,65,14,408310,Gantry Queue Congestion + Slow Metering,7,MITIGATED
RSK-KIS-00128,kisumu,2026-07-20 19:00:00,CAPACITY_PRESSURE,MEDIUM,55,45,10,249960,Loading Position Offline for Maintenance,6,MITIGATED
RSK-KIS-00129,kisumu,2026-07-20 22:00:00,QUEUE_PRESSURE,CRITICAL,60,45,15,125000,Clustered Transporter Arrivals,2,MITIGATED
RSK-NAI-00130,nairobi,2026-07-21 02:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,80,65,15,187500,Flow Meter Temperature Sensor Drift,3,MITIGATED
RSK-KIS-00131,kisumu,2026-07-21 15:00:00,PRODUCT_READINESS,HIGH,84,45,39,1137500,Tank Recertification Hold,7,MITIGATED
RSK-MOM-00132,mombasa,2026-07-21 19:00:00,PRODUCT_READINESS,MEDIUM,84,72,12,100000,Tank Recertification Hold,2,MITIGATED
RSK-NAK-00133,nakuru,2026-07-21 21:00:00,PRODUCT_READINESS,LOW,78,58,20,416650,Tank Recertification Hold,5,MITIGATED
RSK-NAI-00134,nairobi,2026-07-22 01:00:00,PRODUCT_READINESS,MEDIUM,71,65,6,150000,Tank Recertification Hold,6,MITIGATED
RSK-MOM-00135,mombasa,2026-07-22 14:00:00,CAPACITY_PRESSURE,MEDIUM,89,72,17,354150,Loading Position Offline for Maintenance,5,MITIGATED
RSK-KIS-00136,kisumu,2026-07-22 23:00:00,ARRIVAL_CLUSTERING,HIGH,58,45,13,162480,Morning Peak Arrival Surge,3,MITIGATED
RSK-NAI-00137,nairobi,2026-07-24 02:00:00,CAPACITY_PRESSURE,MEDIUM,83,65,18,375000,Loading Position Offline for Maintenance,5,MITIGATED
RSK-NAK-00138,nakuru,2026-07-24 08:00:00,ARRIVAL_CLUSTERING,HIGH,76,58,18,225000,Morning Peak Arrival Surge,3,MITIGATED
RSK-NAI-00139,nairobi,2026-07-24 11:00:00,QUEUE_PRESSURE,MEDIUM,79,65,14,408310,Clustered Transporter Arrivals,7,MITIGATED
RSK-NAK-00140,nakuru,2026-07-24 15:00:00,ARRIVAL_CLUSTERING,HIGH,86,58,28,933280,Morning Peak Arrival Surge,8,MITIGATED
RSK-KIS-00141,kisumu,2026-07-25 16:00:00,PRODUCT_READINESS,MEDIUM,61,45,16,266640,Tank Recertification Hold,4,MITIGATED
RSK-NAI-00142,nairobi,2026-07-25 19:00:00,ARRIVAL_CLUSTERING,LOW,73,65,8,99990,Morning Peak Arrival Surge,3,MITIGATED
RSK-MOM-00143,mombasa,2026-07-26 00:00:00,ARRIVAL_CLUSTERING,LOW,82,72,10,333280,Morning Peak Arrival Surge,8,MITIGATED
RSK-NAI-00144,nairobi,2026-07-26 03:00:00,TURNAROUND_RISK,LOW,79,65,14,116660,Gantry Queue Congestion + Slow Metering,2,MITIGATED
RSK-NAI-00145,nairobi,2026-07-26 10:00:00,PRODUCT_READINESS,MEDIUM,76,65,11,320810,Tank Recertification Hold,7,MITIGATED
RSK-ELD-00146,eldoret,2026-07-27 22:00:00,QUEUE_PRESSURE,HIGH,91,50,41,512490,Clustered Transporter Arrivals,3,MITIGATED
RSK-MOM-00147,mombasa,2026-07-28 00:00:00,PRODUCT_READINESS,HIGH,102,72,30,250000,Tank Recertification Hold,2,MITIGATED
RSK-ELD-00148,eldoret,2026-07-28 06:00:00,TURNAROUND_RISK,LOW,60,50,10,83320,Gantry Queue Congestion + Slow Metering,2,MITIGATED
RSK-MOM-00149,mombasa,2026-07-28 11:00:00,TURNAROUND_RISK,HIGH,85,72,13,270800,Gantry Queue Congestion + Slow Metering,5,MITIGATED
RSK-MOM-00150,mombasa,2026-07-28 16:00:00,PRODUCT_READINESS,HIGH,87,72,15,250000,Tank Recertification Hold,4,MITIGATED
RSK-NAI-00151,nairobi,2026-07-28 18:00:00,PRODUCT_READINESS,HIGH,97,65,32,399990,Tank Recertification Hold,3,MITIGATED
RSK-MOM-00152,mombasa,2026-07-28 23:00:00,QUEUE_PRESSURE,LOW,91,72,19,237480,Clustered Transporter Arrivals,3,MITIGATED
RSK-ELD-00153,eldoret,2026-07-29 04:00:00,ARRIVAL_CLUSTERING,MEDIUM,62,50,12,300000,Morning Peak Arrival Surge,6,MITIGATED
RSK-MOM-00154,mombasa,2026-07-29 06:00:00,PRODUCT_READINESS,CRITICAL,88,72,16,333300,Tank Recertification Hold,5,MONITORING
RSK-MOM-00155,mombasa,2026-07-29 11:00:00,PRODUCT_READINESS,CRITICAL,93,72,21,437500,Tank Recertification Hold,5,MITIGATED
RSK-NAI-00156,nairobi,2026-07-30 18:00:00,CAPACITY_PRESSURE,MEDIUM,82,65,17,212490,Loading Position Offline for Maintenance,3,MONITORING
RSK-ELD-00157,eldoret,2026-07-31 09:00:00,CAPACITY_PRESSURE,HIGH,72,50,22,366640,Loading Position Offline for Maintenance,4,MITIGATED
RSK-NAK-00158,nakuru,2026-07-31 12:00:00,EQUIPMENT_CONSTRAINT,HIGH,83,58,25,624960,Flow Meter Temperature Sensor Drift,6,MITIGATED
RSK-MOM-00159,mombasa,2026-08-01 02:00:00,ARRIVAL_CLUSTERING,CRITICAL,107,72,35,1166640,Morning Peak Arrival Surge,8,MITIGATED
RSK-NAI-00160,nairobi,2026-08-01 09:00:00,TURNAROUND_RISK,MEDIUM,82,65,17,424980,Gantry Queue Congestion + Slow Metering,6,MITIGATED
RSK-MOM-00161,mombasa,2026-08-01 15:00:00,CAPACITY_PRESSURE,HIGH,100,72,28,699960,Loading Position Offline for Maintenance,6,MITIGATED
RSK-ELD-00162,eldoret,2026-08-01 22:00:00,QUEUE_PRESSURE,LOW,68,50,18,300000,Clustered Transporter Arrivals,4,MITIGATED
RSK-ELD-00163,eldoret,2026-08-02 03:00:00,TURNAROUND_RISK,MEDIUM,61,50,11,366640,Gantry Queue Congestion + Slow Metering,8,MONITORING
RSK-NAK-00164,nakuru,2026-08-02 11:00:00,CAPACITY_PRESSURE,HIGH,98,58,40,1166620,Loading Position Offline for Maintenance,7,MITIGATED
RSK-NAI-00165,nairobi,2026-08-02 23:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,77,65,12,300000,Flow Meter Temperature Sensor Drift,6,MITIGATED
RSK-NAI-00166,nairobi,2026-08-03 06:00:00,QUEUE_PRESSURE,HIGH,99,65,34,283320,Clustered Transporter Arrivals,2,MONITORING
RSK-ELD-00167,eldoret,2026-08-03 12:00:00,EQUIPMENT_CONSTRAINT,HIGH,75,50,25,208320,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-MOM-00168,mombasa,2026-08-04 03:00:00,PRODUCT_READINESS,MEDIUM,83,72,11,274980,Tank Recertification Hold,6,MITIGATED
