verification_id,decision_id,action_id,verified_at,pre_intervention_turnaround_min,post_intervention_turnaround_min,expected_reduction_min,observed_reduction_min,recovery_attainment_pct,verification_status,exposure_protected_kes,realized_savings_kes
VER-00034,DEC-00047,ACT-00034,2026-07-01 10:57:45,85,73,15,12,80.0,VERIFIED_PARTIAL,199992,164222
VER-00035,DEC-00050,ACT-00035,2026-07-02 07:58:40,101,73,32,28,87.5,VERIFIED_FULL,466649,393811
VER-00036,DEC-00053,ACT-00036,2026-07-02 19:53:44,74,64,12,10,83.3,VERIFIED_PARTIAL,83325,67378
VER-00037,DEC-00054,ACT-00037,2026-07-03 01:43:43,78,69,9,9,100.0,VERIFIED_FULL,112486,98735
VER-00038,DEC-00055,ACT-00038,2026-07-03 06:56:35,82,72,12,10,83.3,VERIFIED_PARTIAL,208323,181397
VER-00039,DEC-00056,ACT-00039,2026-07-03 14:34:48,75,68,7,7,100.0,VERIFIED_FULL,116647,94454
VER-00040,DEC-00059,ACT-00040,2026-07-04 03:42:24,85,73,15,12,80.0,VERIFIED_PARTIAL,249990,229930
VER-00041,DEC-00061,ACT-00041,2026-07-04 10:32:43,91,69,24,22,91.7,VERIFIED_FULL,275000,237145
VER-00042,DEC-00062,ACT-00042,2026-07-04 14:56:25,85,58,26,27,103.8,VERIFIED_FULL,674984,542321
VER-00043,DEC-00064,ACT-00043,2026-07-04 22:05:40,102,80,22,22,100.0,VERIFIED_FULL,366666,334137
VER-00044,DEC-00067,ACT-00044,2026-07-05 18:40:32,90,79,13,11,84.6,VERIFIED_PARTIAL,183333,154267
VER-00045,DEC-00068,ACT-00045,2026-07-05 23:43:41,71,64,9,7,77.8,VERIFIED_PARTIAL,116652,109895
VER-00046,DEC-00069,ACT-00046,2026-07-06 02:31:38,76,65,13,11,84.6,VERIFIED_PARTIAL,366666,308602
VER-00047,DEC-00070,ACT-00047,2026-07-06 11:34:44,70,62,9,8,88.9,VERIFIED_FULL,166666,156806
VER-00048,DEC-00071,ACT-00048,2026-07-07 02:32:44,78,62,15,16,106.7,VERIFIED_FULL,533312,458235
VER-00049,DEC-00072,ACT-00049,2026-07-07 04:59:18,77,60,20,17,85.0,VERIFIED_FULL,354166,319052
VER-00050,DEC-00074,ACT-00050,2026-07-08 13:05:28,87,76,11,11,100.0,VERIFIED_FULL,275000,239278
VER-00051,DEC-00075,ACT-00051,2026-07-09 02:02:45,88,79,12,9,75.0,VERIFIED_PARTIAL,149985,140596
VER-00052,DEC-00077,ACT-00052,2026-07-09 19:43:18,56,49,8,7,87.5,VERIFIED_FULL,174987,162165
VER-00053,DEC-00078,ACT-00053,2026-07-10 02:00:31,61,50,12,11,91.7,VERIFIED_FULL,229143,193234
VER-00054,DEC-00079,ACT-00054,2026-07-10 04:56:44,63,52,13,11,84.6,VERIFIED_PARTIAL,183333,147131
VER-00055,DEC-00081,ACT-00055,2026-07-10 22:03:33,101,73,27,28,103.7,VERIFIED_FULL,700000,658852
VER-00056,DEC-00083,ACT-00056,2026-07-11 10:03:46,68,56,13,12,92.3,VERIFIED_FULL,150000,127896
VER-00057,DEC-00084,ACT-00057,2026-07-11 11:48:47,80,70,11,10,90.9,VERIFIED_FULL,208333,189788
VER-00058,DEC-00085,ACT-00058,2026-07-11 21:47:31,91,79,14,12,85.7,VERIFIED_FULL,299974,277091
VER-00059,DEC-00086,ACT-00059,2026-07-12 01:58:23,89,65,23,24,104.3,VERIFIED_FULL,199989,164803
VER-00060,DEC-00088,ACT-00060,2026-07-12 10:02:25,80,60,22,20,90.9,VERIFIED_FULL,583333,527484
VER-00061,DEC-00090,ACT-00061,2026-07-12 21:48:45,88,78,12,10,83.3,VERIFIED_PARTIAL,208312,197394
VER-00062,DEC-00091,ACT-00062,2026-07-13 09:55:23,70,56,15,14,93.3,VERIFIED_FULL,233323,191038
VER-00063,DEC-00094,ACT-00063,2026-07-15 13:00:34,84,76,9,8,88.9,VERIFIED_FULL,100000,82202
VER-00064,DEC-00095,ACT-00064,2026-07-15 19:39:38,63,56,9,7,77.8,VERIFIED_PARTIAL,87489,73752
VER-00065,DEC-00097,ACT-00065,2026-07-17 00:49:38,73,65,11,8,72.7,VERIFIED_PARTIAL,133333,118942
VER-00066,DEC-00098,ACT-00066,2026-07-17 08:45:27,66,55,12,11,91.7,VERIFIED_FULL,320801,277628
VER-00067,DEC-00100,ACT-00067,2026-07-18 01:33:41,98,83,19,15,78.9,VERIFIED_PARTIAL,249992,217476
VER-00068,DEC-00102,ACT-00068,2026-07-19 03:38:27,82,77,7,5,71.4,VERIFIED_PARTIAL,124980,102317
VER-00069,DEC-00103,ACT-00069,2026-07-19 07:01:23,90,74,18,16,88.9,VERIFIED_FULL,266649,221716
VER-00070,DEC-00104,ACT-00070,2026-07-19 12:51:34,74,69,6,5,83.3,VERIFIED_PARTIAL,83333,73107
VER-00071,DEC-00105,ACT-00071,2026-07-19 21:56:18,84,76,9,8,88.9,VERIFIED_FULL,100000,92735
VER-00072,DEC-00106,ACT-00072,2026-07-20 19:43:33,55,49,7,6,85.7,VERIFIED_FULL,149976,129731
VER-00073,DEC-00107,ACT-00073,2026-07-20 22:34:26,60,50,11,10,90.9,VERIFIED_FULL,83333,76312
VER-00074,DEC-00108,ACT-00074,2026-07-21 02:53:49,80,71,11,9,81.8,VERIFIED_PARTIAL,112500,96901
VER-00075,DEC-00109,ACT-00075,2026-07-21 15:58:33,84,55,29,29,100.0,VERIFIED_FULL,845833,735585
VER-00076,DEC-00111,ACT-00076,2026-07-22 02:01:35,71,67,4,4,100.0,VERIFIED_FULL,100000,86873
VER-00077,DEC-00113,ACT-00077,2026-07-22 23:53:25,58,50,9,8,88.9,VERIFIED_FULL,99987,91074
VER-00078,DEC-00115,ACT-00078,2026-07-24 08:57:39,76,66,13,10,76.9,VERIFIED_PARTIAL,125000,110901
VER-00079,DEC-00118,ACT-00079,2026-07-25 16:32:39,61,49,12,12,100.0,VERIFIED_FULL,199980,170444
VER-00080,DEC-00120,ACT-00080,2026-07-27 22:43:40,91,62,30,29,96.7,VERIFIED_FULL,362492,310477
VER-00081,DEC-00121,ACT-00081,2026-07-28 00:42:43,102,79,22,23,104.5,VERIFIED_FULL,191666,169621
VER-00082,DEC-00123,ACT-00082,2026-07-28 16:36:40,87,76,11,11,100.0,VERIFIED_FULL,183333,157666
VER-00083,DEC-00125,ACT-00083,2026-07-29 04:50:27,62,53,9,9,100.0,VERIFIED_FULL,225000,200131
VER-00084,DEC-00126,ACT-00084,2026-07-29 07:01:47,88,78,12,10,83.3,VERIFIED_PARTIAL,208312,192885
VER-00085,DEC-00127,ACT-00085,2026-07-29 11:38:45,93,81,15,12,80.0,VERIFIED_PARTIAL,250000,219322
VER-00086,DEC-00128,ACT-00086,2026-07-30 18:43:44,82,72,12,10,83.3,VERIFIED_PARTIAL,124994,110605
VER-00087,DEC-00129,ACT-00087,2026-07-31 09:50:41,72,60,16,12,75.0,VERIFIED_PARTIAL,199985,166706
VER-00088,DEC-00130,ACT-00088,2026-07-31 12:38:20,83,67,18,16,88.9,VERIFIED_FULL,399974,357419
VER-00089,DEC-00131,ACT-00089,2026-08-01 02:39:42,107,84,26,23,88.5,VERIFIED_FULL,766649,716035
VER-00090,DEC-00132,ACT-00090,2026-08-01 10:05:21,82,70,12,12,100.0,VERIFIED_FULL,299985,265808
VER-00091,DEC-00134,ACT-00091,2026-08-02 04:01:22,61,54,8,7,87.5,VERIFIED_FULL,233316,202471
VER-00092,DEC-00135,ACT-00092,2026-08-02 11:42:43,98,74,30,24,80.0,VERIFIED_PARTIAL,699972,646454
VER-00093,DEC-00136,ACT-00093,2026-08-02 23:40:34,77,68,9,9,100.0,VERIFIED_FULL,225000,208269
VER-00094,DEC-00137,ACT-00094,2026-08-03 06:48:31,99,79,25,20,80.0,VERIFIED_PARTIAL,166658,156931
VER-00095,DEC-00139,ACT-00095,2026-08-04 03:38:35,83,75,8,8,100.0,VERIFIED_FULL,199985,170731
VER-00096,DEC-00140,ACT-00096,2026-08-04 15:00:34,63,53,13,10,76.9,VERIFIED_PARTIAL,166666,141812
VER-00097,DEC-00141,ACT-00097,2026-08-05 07:40:20,63,55,9,8,88.9,VERIFIED_FULL,99987,82540
VER-00098,DEC-00142,ACT-00098,2026-08-05 15:41:47,78,70,9,8,88.9,VERIFIED_FULL,99987,85378
VER-00099,DEC-00143,ACT-00099,2026-08-05 19:55:31,54,49,6,5,83.3,VERIFIED_PARTIAL,125000,107818
VER-00100,DEC-00144,ACT-00100,2026-08-06 00:56:38,59,54,6,5,83.3,VERIFIED_PARTIAL,125000,107742
VER-00101,DEC-00146,ACT-00101,2026-08-06 08:02:20,109,87,27,22,81.5,VERIFIED_PARTIAL,733301,650920
VER-00102,DEC-00147,ACT-00102,2026-08-06 13:42:34,82,60,24,22,91.7,VERIFIED_FULL,733315,668288
VER-00103,DEC-00148,ACT-00103,2026-08-06 19:53:34,72,68,5,4,80.0,VERIFIED_PARTIAL,116640,96908
VER-00104,DEC-00149,ACT-00104,2026-08-06 23:04:42,79,75,5,4,80.0,VERIFIED_PARTIAL,83314,76343
VER-00105,DEC-00151,ACT-00105,2026-08-07 16:50:47,74,62,12,12,100.0,VERIFIED_FULL,149985,142091
VER-00106,DEC-00153,ACT-00106,2026-08-08 09:43:25,80,72,11,8,72.7,VERIFIED_PARTIAL,66666,61864
VER-00107,DEC-00155,ACT-00107,2026-08-09 20:31:24,72,63,10,9,90.0,VERIFIED_FULL,149991,136057
VER-00108,DEC-00156,ACT-00108,2026-08-09 22:34:40,79,70,10,9,90.0,VERIFIED_FULL,187489,167564
VER-00109,DEC-00157,ACT-00109,2026-08-10 04:36:44,57,48,9,9,100.0,VERIFIED_FULL,300000,282824
VER-00110,DEC-00158,ACT-00110,2026-08-10 20:38:39,81,69,12,12,100.0,VERIFIED_FULL,199980,171418
VER-00111,DEC-00159,ACT-00111,2026-08-11 03:48:29,58,53,6,5,83.3,VERIFIED_PARTIAL,62493,53769
VER-00112,DEC-00161,ACT-00112,2026-08-11 19:36:24,78,71,9,7,77.8,VERIFIED_PARTIAL,174978,154014
VER-00113,DEC-00162,ACT-00113,2026-08-12 05:02:43,95,75,22,20,90.9,VERIFIED_FULL,416666,343411
VER-00114,DEC-00163,ACT-00114,2026-08-12 12:42:39,99,83,20,16,80.0,VERIFIED_PARTIAL,466666,436662
VER-00115,DEC-00164,ACT-00115,2026-08-12 21:58:33,84,58,29,26,89.7,VERIFIED_FULL,650000,531546
VER-00116,DEC-00165,ACT-00116,2026-08-13 03:30:46,94,76,21,18,85.7,VERIFIED_FULL,299991,260012
VER-00117,DEC-00169,ACT-00117,2026-08-13 19:52:46,80,75,6,5,83.3,VERIFIED_PARTIAL,104156,86893
VER-00118,DEC-00170,ACT-00118,2026-08-14 08:30:36,56,50,8,6,75.0,VERIFIED_PARTIAL,124990,107002
VER-00119,DEC-00172,ACT-00119,2026-08-14 15:41:44,79,75,5,4,80.0,VERIFIED_PARTIAL,83314,73546
VER-00120,DEC-00173,ACT-00120,2026-08-15 06:33:27,73,68,6,5,83.3,VERIFIED_PARTIAL,41662,36724
VER-00121,DEC-00176,ACT-00121,2026-08-15 20:42:28,82,76,7,6,85.7,VERIFIED_FULL,74988,62999
VER-00122,DEC-00177,ACT-00122,2026-08-15 23:32:35,85,71,15,14,93.3,VERIFIED_FULL,291655,243497
VER-00123,DEC-00180,ACT-00123,2026-08-16 23:04:39,78,65,15,13,86.7,VERIFIED_FULL,324987,304993
VER-00124,DEC-00181,ACT-00124,2026-08-17 06:52:34,96,80,18,16,88.9,VERIFIED_FULL,400000,342973
VER-00125,DEC-00182,ACT-00125,2026-08-17 08:59:28,72,62,10,10,100.0,VERIFIED_FULL,291650,264682
VER-00126,DEC-00183,ACT-00126,2026-08-18 15:31:40,83,76,8,7,87.5,VERIFIED_FULL,145822,119766
VER-00127,DEC-00185,ACT-00127,2026-08-19 07:32:28,97,79,18,18,100.0,VERIFIED_FULL,374976,343969
VER-00128,DEC-00187,ACT-00128,2026-08-20 07:02:37,113,86,30,27,90.0,VERIFIED_FULL,787484,683024
VER-00129,DEC-00188,ACT-00129,2026-08-20 14:50:44,75,68,7,7,100.0,VERIFIED_FULL,233295,208830
VER-00130,DEC-00189,ACT-00130,2026-08-20 20:43:37,71,56,15,15,100.0,VERIFIED_FULL,125000,106020
VER-00131,DEC-00191,ACT-00131,2026-08-21 05:40:45,61,51,12,10,83.3,VERIFIED_PARTIAL,249975,232555
VER-00132,DEC-00192,ACT-00132,2026-08-21 16:31:33,92,79,15,13,86.7,VERIFIED_FULL,162493,144998
VER-00133,DEC-00193,ACT-00133,2026-08-22 02:49:47,73,62,11,11,100.0,VERIFIED_FULL,137500,123462
VER-00134,DEC-00194,ACT-00134,2026-08-22 05:30:40,93,71,21,22,104.8,VERIFIED_FULL,366645,339426
VER-00135,DEC-00195,ACT-00135,2026-08-22 07:46:36,65,55,11,10,90.9,VERIFIED_FULL,250000,222557
VER-00136,DEC-00196,ACT-00136,2026-08-22 21:56:25,77,69,9,8,88.9,VERIFIED_FULL,233333,199461
VER-00137,DEC-00197,ACT-00137,2026-08-23 17:56:21,60,51,11,9,81.8,VERIFIED_PARTIAL,300000,261643
VER-00138,DEC-00198,ACT-00138,2026-08-23 20:42:48,107,83,26,24,92.3,VERIFIED_FULL,599986,558000
VER-00139,DEC-00199,ACT-00139,2026-08-24 01:37:40,104,80,24,24,100.0,VERIFIED_FULL,599985,511042
VER-00140,DEC-00207,ACT-00140,2026-08-27 03:38:32,56,53,4,3,75.0,VERIFIED_PARTIAL,37500,32329
VER-00141,DEC-00209,ACT-00141,2026-08-27 12:59:31,107,82,26,25,96.2,VERIFIED_FULL,520821,443996
VER-00142,DEC-00210,ACT-00142,2026-08-27 14:47:28,60,54,7,6,85.7,VERIFIED_FULL,99984,94207
VER-00143,DEC-00211,ACT-00143,2026-08-27 23:46:23,109,87,27,22,81.5,VERIFIED_PARTIAL,549976,479524
VER-00144,DEC-00214,ACT-00144,2026-08-28 17:03:41,75,69,7,6,85.7,VERIFIED_FULL,149976,134778
VER-00145,DEC-00215,ACT-00145,2026-08-29 06:58:41,87,75,16,12,75.0,VERIFIED_PARTIAL,399970,321067
VER-00146,DEC-00216,ACT-00146,2026-08-29 14:43:29,56,53,4,3,75.0,VERIFIED_PARTIAL,37500,32832
VER-00147,DEC-00217,ACT-00147,2026-08-29 19:35:22,68,63,7,5,71.4,VERIFIED_PARTIAL,166640,134616
VER-00148,DEC-00218,ACT-00148,2026-08-30 02:40:38,100,70,31,30,96.8,VERIFIED_FULL,375000,338334
VER-00149,DEC-00219,ACT-00149,2026-08-30 07:47:22,65,61,5,4,80.0,VERIFIED_PARTIAL,133302,115711
VER-00150,DEC-00220,ACT-00150,2026-08-31 10:36:24,89,77,12,12,100.0,VERIFIED_FULL,199990,160230
VER-00151,DEC-00221,ACT-00151,2026-08-31 20:38:31,105,80,24,25,104.2,VERIFIED_FULL,208333,179477
VER-00152,DEC-00222,ACT-00152,2026-09-01 16:34:39,84,73,14,11,78.6,VERIFIED_PARTIAL,183317,165874
VER-00153,DEC-00223,ACT-00153,2026-09-02 12:43:27,60,52,11,8,72.7,VERIFIED_PARTIAL,166666,156051
VER-00154,DEC-00224,ACT-00154,2026-09-03 06:51:29,78,70,9,8,88.9,VERIFIED_FULL,99987,92789
VER-00155,DEC-00226,ACT-00155,2026-09-04 03:00:32,84,75,9,9,100.0,VERIFIED_FULL,300000,250432
VER-00156,DEC-00227,ACT-00156,2026-09-04 13:31:21,77,66,14,11,78.6,VERIFIED_PARTIAL,137488,122668
VER-00157,DEC-00228,ACT-00157,2026-09-05 06:03:50,65,56,11,9,81.8,VERIFIED_PARTIAL,225000,194424
VER-00158,DEC-00229,ACT-00158,2026-09-05 15:56:45,90,77,13,13,100.0,VERIFIED_FULL,216666,177017
VER-00159,DEC-00230,ACT-00159,2026-09-05 20:30:41,56,48,8,8,100.0,VERIFIED_FULL,166654,156906
VER-00160,DEC-00231,ACT-00160,2026-09-06 12:47:18,54,50,6,4,66.7,VERIFIED_PARTIAL,33333,29208
VER-00161,DEC-00232,ACT-00161,2026-09-07 04:57:34,76,70,8,6,75.0,VERIFIED_PARTIAL,49996,43669
VER-00162,DEC-00233,ACT-00162,2026-09-07 07:37:33,77,68,9,9,100.0,VERIFIED_FULL,75000,61697
VER-00163,DEC-00234,ACT-00163,2026-09-07 12:45:31,70,62,9,8,88.9,VERIFIED_FULL,200000,176743
VER-00164,DEC-00237,ACT-00164,2026-09-08 22:45:37,104,85,24,19,79.2,VERIFIED_PARTIAL,554152,458915
VER-00165,DEC-00238,ACT-00165,2026-09-09 06:51:23,63,55,9,8,88.9,VERIFIED_FULL,133316,110059
VER-00166,DEC-00239,ACT-00166,2026-09-09 12:33:38,77,68,9,9,100.0,VERIFIED_FULL,75000,66842
VER-00167,DEC-00240,ACT-00167,2026-09-09 14:49:30,78,71,9,7,77.8,VERIFIED_PARTIAL,174978,157900
VER-00168,DEC-00242,ACT-00168,2026-09-10 16:50:21,83,71,13,12,92.3,VERIFIED_FULL,100000,87052
VER-00169,DEC-00243,ACT-00169,2026-09-11 10:37:42,70,58,15,12,80.0,VERIFIED_PARTIAL,199992,175320
VER-00170,DEC-00245,ACT-00170,2026-09-12 18:00:19,108,81,32,27,84.4,VERIFIED_PARTIAL,674974,631701
VER-00171,DEC-00249,ACT-00171,2026-09-15 03:48:37,55,49,7,6,85.7,VERIFIED_FULL,124980,116944
VER-00172,DEC-00250,ACT-00172,2026-09-15 08:48:34,79,72,10,7,70.0,VERIFIED_PARTIAL,174990,157150
VER-00173,DEC-00251,ACT-00173,2026-09-15 16:01:27,78,71,9,7,77.8,VERIFIED_PARTIAL,58326,52345
