signal_id,order_id,signal_source,signal_timestamp,signal_quality,estimated_distance_km,predicted_arrival_window_start,predicted_arrival_window_end,confidence_pct
SIG-000016,LO-PS10-01007,OPTIONAL_TELEMATICS,2026-06-11 14:35:26,HIGH,26.8,2026-06-11 16:09:26,2026-06-11 16:36:26,88
SIG-000017,LO-PS25-01003,OPTIONAL_TELEMATICS,2026-06-11 10:46:29,HIGH,26.9,2026-06-11 11:29:29,2026-06-11 11:56:29,86
SIG-000018,LO-PS10-01008,HISTORICAL_BASELINE,2026-06-11 15:17:47,BASELINE,29.3,2026-06-11 15:49:47,2026-06-11 16:16:47,62
SIG-000019,LO-PS10-01010,HISTORICAL_BASELINE,2026-06-11 15:34:15,BASELINE,58.2,2026-06-11 16:39:15,2026-06-11 17:06:15,67
SIG-000020,LO-PS25-01004,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 14:31:57,MEDIUM,50.8,2026-06-11 15:49:57,2026-06-11 16:16:57,76
SIG-000021,LO-PS27-01003,OPTIONAL_TELEMATICS,2026-06-11 11:01:38,HIGH,13.2,2026-06-11 12:50:38,2026-06-11 13:17:38,94
SIG-000022,LO-PS25-01005,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:50:28,MEDIUM,32.1,2026-06-11 09:46:28,2026-06-11 10:13:28,82
SIG-000023,LO-KOTPS1-01005,HISTORICAL_BASELINE,2026-06-11 17:49:23,BASELINE,40.9,2026-06-11 19:06:23,2026-06-11 19:33:23,60
SIG-000024,LO-KOTPS1-01006,HISTORICAL_BASELINE,2026-06-11 06:39:16,BASELINE,47.9,2026-06-11 06:55:16,2026-06-11 07:22:16,66
SIG-000025,LO-KOTPS1-01007,HISTORICAL_BASELINE,2026-06-11 09:45:33,BASELINE,19.2,2026-06-11 11:50:33,2026-06-11 12:17:33,73
SIG-000026,LO-PS10-01011,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:08:22,MEDIUM,51.9,2026-06-11 11:22:22,2026-06-11 11:49:22,78
SIG-000027,LO-KOTPS1-01008,OPTIONAL_TELEMATICS,2026-06-11 09:50:36,HIGH,30.2,2026-06-11 11:37:36,2026-06-11 12:04:36,85
SIG-000028,LO-PS10-01013,HISTORICAL_BASELINE,2026-06-11 07:39:20,BASELINE,38.9,2026-06-11 08:46:20,2026-06-11 09:13:20,61
SIG-000029,LO-PS10-01014,HISTORICAL_BASELINE,2026-06-11 07:19:17,BASELINE,40.7,2026-06-11 08:25:17,2026-06-11 08:52:17,65
SIG-000030,LO-PS25-01006,HISTORICAL_BASELINE,2026-06-11 07:55:53,BASELINE,6.7,2026-06-11 08:47:53,2026-06-11 09:14:53,68
SIG-000031,LO-KOTPS1-01009,HISTORICAL_BASELINE,2026-06-11 10:03:42,BASELINE,51.1,2026-06-11 10:27:42,2026-06-11 10:54:42,63
SIG-000032,LO-KOTPS1-01010,OPTIONAL_TELEMATICS,2026-06-11 08:31:37,HIGH,19.0,2026-06-11 09:21:37,2026-06-11 09:48:37,82
SIG-000033,LO-KOTPS1-01011,HISTORICAL_BASELINE,2026-06-11 08:17:01,BASELINE,10.0,2026-06-11 09:18:01,2026-06-11 09:45:01,60
SIG-000034,LO-PS28-01002,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:21:23,MEDIUM,14.8,2026-06-11 12:30:23,2026-06-11 12:57:23,77
SIG-000035,LO-KOTPS1-01012,HISTORICAL_BASELINE,2026-06-11 17:09:50,BASELINE,41.0,2026-06-11 18:32:50,2026-06-11 18:59:50,68
SIG-000036,LO-PS10-01016,HISTORICAL_BASELINE,2026-06-11 14:12:16,BASELINE,11.9,2026-06-11 15:01:16,2026-06-11 15:28:16,65
SIG-000037,LO-PS25-01007,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 12:20:41,MEDIUM,13.6,2026-06-11 13:51:41,2026-06-11 14:18:41,83
SIG-000038,LO-KOTPS1-01013,HISTORICAL_BASELINE,2026-06-11 09:19:29,BASELINE,24.7,2026-06-11 10:31:29,2026-06-11 10:58:29,68
SIG-000039,LO-PS10-01017,HISTORICAL_BASELINE,2026-06-11 10:33:32,BASELINE,57.0,2026-06-11 11:52:32,2026-06-11 12:19:32,68
SIG-000040,LO-PS10-01018,HISTORICAL_BASELINE,2026-06-11 07:33:15,BASELINE,40.1,2026-06-11 08:35:15,2026-06-11 09:02:15,70
SIG-000041,LO-PS10-01019,HISTORICAL_BASELINE,2026-06-11 14:16:59,BASELINE,58.0,2026-06-11 15:04:59,2026-06-11 15:31:59,67
SIG-000042,LO-KOTPS1-01014,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:33:29,MEDIUM,47.8,2026-06-11 10:36:29,2026-06-11 11:03:29,82
SIG-000043,LO-KOTPS1-01015,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:01:44,MEDIUM,19.0,2026-06-11 12:35:44,2026-06-11 13:02:44,72
SIG-000044,LO-PS10-01020,HISTORICAL_BASELINE,2026-06-11 11:32:29,BASELINE,38.8,2026-06-11 13:30:29,2026-06-11 13:57:29,74
SIG-000045,LO-PS10-01021,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:58:25,MEDIUM,18.1,2026-06-11 12:44:25,2026-06-11 13:11:25,75
SIG-000046,LO-KOTPS1-01016,HISTORICAL_BASELINE,2026-06-11 11:21:55,BASELINE,20.9,2026-06-11 12:16:55,2026-06-11 12:43:55,61
SIG-000047,LO-KOTPS1-01017,OPTIONAL_TELEMATICS,2026-06-11 08:46:28,HIGH,44.7,2026-06-11 10:13:28,2026-06-11 10:40:28,82
SIG-000048,LO-PS27-01005,HISTORICAL_BASELINE,2026-06-11 14:36:43,BASELINE,37.4,2026-06-11 16:18:43,2026-06-11 16:45:43,72
SIG-000049,LO-KOTPS1-01018,OPTIONAL_TELEMATICS,2026-06-11 13:40:47,HIGH,27.3,2026-06-11 15:13:47,2026-06-11 15:40:47,85
SIG-000050,LO-PS27-01006,HISTORICAL_BASELINE,2026-06-11 15:11:31,BASELINE,26.5,2026-06-11 16:32:31,2026-06-11 16:59:31,66
SIG-000051,LO-KOTPS1-01019,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 12:15:26,MEDIUM,38.9,2026-06-11 13:54:26,2026-06-11 14:21:26,85
SIG-000052,LO-PS28-01004,OPTIONAL_TELEMATICS,2026-06-11 09:05:30,HIGH,20.7,2026-06-11 10:01:30,2026-06-11 10:28:30,88
SIG-000053,LO-PS27-01008,HISTORICAL_BASELINE,2026-06-11 11:04:44,BASELINE,23.9,2026-06-11 12:54:44,2026-06-11 13:21:44,63
SIG-000054,LO-KOTPS1-01020,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 06:47:35,MEDIUM,57.1,2026-06-11 08:42:35,2026-06-11 09:09:35,84
SIG-000055,LO-PS27-01009,HISTORICAL_BASELINE,2026-06-11 11:39:57,BASELINE,31.9,2026-06-11 11:52:57,2026-06-11 12:19:57,66
SIG-000056,LO-KOTPS1-01021,HISTORICAL_BASELINE,2026-06-11 09:07:48,BASELINE,62.4,2026-06-11 10:51:48,2026-06-11 11:18:48,65
SIG-000057,LO-PS25-01008,HISTORICAL_BASELINE,2026-06-11 10:46:04,BASELINE,14.5,2026-06-11 12:29:04,2026-06-11 12:56:04,70
SIG-000058,LO-KOTPS1-01022,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:12:58,MEDIUM,31.4,2026-06-11 09:10:58,2026-06-11 09:37:58,83
SIG-000059,LO-PS10-01022,HISTORICAL_BASELINE,2026-06-11 08:28:03,BASELINE,25.6,2026-06-11 10:00:03,2026-06-11 10:27:03,69
SIG-000060,LO-PS10-01023,HISTORICAL_BASELINE,2026-06-11 12:22:29,BASELINE,33.3,2026-06-11 13:27:29,2026-06-11 13:54:29,65
SIG-000061,LO-PS10-01024,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 13:08:51,MEDIUM,46.2,2026-06-11 14:32:51,2026-06-11 14:59:51,84
SIG-000062,LO-PS10-01025,HISTORICAL_BASELINE,2026-06-11 17:46:11,BASELINE,52.2,2026-06-11 18:00:11,2026-06-11 18:27:11,61
SIG-000063,LO-PS25-01009,HISTORICAL_BASELINE,2026-06-11 13:37:22,BASELINE,29.2,2026-06-11 14:06:22,2026-06-11 14:33:22,71
SIG-000064,LO-PS25-01010,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 16:50:08,MEDIUM,9.3,2026-06-11 17:35:08,2026-06-11 18:02:08,72
SIG-000065,LO-PS28-01005,HISTORICAL_BASELINE,2026-06-11 08:11:32,BASELINE,31.5,2026-06-11 09:50:32,2026-06-11 10:17:32,73
SIG-000066,LO-PS10-01026,OPTIONAL_TELEMATICS,2026-06-11 06:19:02,HIGH,59.3,2026-06-11 06:43:02,2026-06-11 07:10:02,90
SIG-000067,LO-PS25-01011,OPTIONAL_TELEMATICS,2026-06-11 07:21:50,HIGH,24.1,2026-06-11 08:07:50,2026-06-11 08:34:50,83
SIG-000068,LO-PS10-01027,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 09:31:00,MEDIUM,50.8,2026-06-11 10:21:00,2026-06-11 10:48:00,79
SIG-000069,LO-PS25-01012,OPTIONAL_TELEMATICS,2026-06-11 09:50:39,HIGH,18.6,2026-06-11 10:02:39,2026-06-11 10:29:39,92
SIG-000070,LO-PS10-01028,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:42:08,MEDIUM,54.9,2026-06-11 10:14:08,2026-06-11 10:41:08,83
SIG-000071,LO-PS28-01006,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:12:02,MEDIUM,38.6,2026-06-11 10:01:02,2026-06-11 10:28:02,74
SIG-000072,LO-KOTPS1-01023,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 14:18:46,MEDIUM,5.8,2026-06-11 15:12:46,2026-06-11 15:39:46,80
SIG-000073,LO-KOTPS1-01024,HISTORICAL_BASELINE,2026-06-11 17:58:52,BASELINE,62.0,2026-06-11 18:23:52,2026-06-11 18:50:52,62
SIG-000074,LO-PS10-01029,OPTIONAL_TELEMATICS,2026-06-11 08:40:06,HIGH,28.6,2026-06-11 09:06:06,2026-06-11 09:33:06,93
SIG-000075,LO-PS10-01030,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 15:35:41,MEDIUM,23.3,2026-06-11 16:51:41,2026-06-11 17:18:41,77
SIG-000076,LO-PS25-01013,HISTORICAL_BASELINE,2026-06-11 11:29:36,BASELINE,45.4,2026-06-11 12:38:36,2026-06-11 13:05:36,61
SIG-000077,LO-PS28-01007,HISTORICAL_BASELINE,2026-06-11 07:52:21,BASELINE,16.2,2026-06-11 09:26:21,2026-06-11 09:53:21,71
SIG-000078,LO-KOTPS1-01025,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:19:54,MEDIUM,7.6,2026-06-11 10:02:54,2026-06-11 10:29:54,84
SIG-000079,LO-PS10-01031,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 09:42:31,MEDIUM,39.4,2026-06-11 10:17:31,2026-06-11 10:44:31,81
SIG-000080,LO-KOTPS1-01026,HISTORICAL_BASELINE,2026-06-11 11:45:22,BASELINE,40.1,2026-06-11 13:18:22,2026-06-11 13:45:22,70
SIG-000081,LO-PS25-01014,HISTORICAL_BASELINE,2026-06-11 11:09:08,BASELINE,51.8,2026-06-11 12:06:08,2026-06-11 12:33:08,71
SIG-000082,LO-KOTPS1-01027,HISTORICAL_BASELINE,2026-06-11 16:37:43,BASELINE,36.9,2026-06-11 17:41:43,2026-06-11 18:08:43,66
SIG-000083,LO-KOTPS1-01028,OPTIONAL_TELEMATICS,2026-06-11 11:15:55,HIGH,62.9,2026-06-11 11:44:55,2026-06-11 12:11:55,87
SIG-000084,LO-PS27-01012,HISTORICAL_BASELINE,2026-06-11 12:00:12,BASELINE,20.7,2026-06-11 12:38:12,2026-06-11 13:05:12,64
SIG-000085,LO-PS25-01015,OPTIONAL_TELEMATICS,2026-06-11 15:42:27,HIGH,27.5,2026-06-11 16:39:27,2026-06-11 17:06:27,89
SIG-000086,LO-KOTPS1-01029,HISTORICAL_BASELINE,2026-06-11 11:33:13,BASELINE,14.0,2026-06-11 13:13:13,2026-06-11 13:40:13,67
SIG-000087,LO-KOTPS1-01030,OPTIONAL_TELEMATICS,2026-06-11 08:27:52,HIGH,38.2,2026-06-11 09:08:52,2026-06-11 09:35:52,93
SIG-000088,LO-KOTPS1-01031,HISTORICAL_BASELINE,2026-06-11 14:02:13,BASELINE,26.9,2026-06-11 15:49:13,2026-06-11 16:16:13,69
SIG-000089,LO-PS10-01032,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:27:01,MEDIUM,20.6,2026-06-11 11:20:01,2026-06-11 11:47:01,75
SIG-000090,LO-PS27-01013,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 07:50:27,MEDIUM,11.8,2026-06-11 08:23:27,2026-06-11 08:50:27,81
SIG-000091,LO-PS10-01033,HISTORICAL_BASELINE,2026-06-11 13:29:10,BASELINE,16.5,2026-06-11 14:02:10,2026-06-11 14:29:10,71
SIG-000092,LO-KOTPS1-01032,HISTORICAL_BASELINE,2026-06-11 06:34:42,BASELINE,52.8,2026-06-11 07:37:42,2026-06-11 08:04:42,74
SIG-000093,LO-PS25-01016,HISTORICAL_BASELINE,2026-06-11 11:21:00,BASELINE,33.8,2026-06-11 12:29:00,2026-06-11 12:56:00,66
SIG-000094,LO-PS27-01014,HISTORICAL_BASELINE,2026-06-11 10:40:51,BASELINE,16.1,2026-06-11 12:24:51,2026-06-11 12:51:51,60
SIG-000095,LO-PS10-01034,OPTIONAL_TELEMATICS,2026-06-11 16:32:10,HIGH,60.7,2026-06-11 17:24:10,2026-06-11 17:51:10,83
SIG-000096,LO-PS10-01035,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 07:15:17,MEDIUM,31.4,2026-06-11 07:29:17,2026-06-11 07:56:17,74
SIG-000097,LO-PS10-01036,HISTORICAL_BASELINE,2026-06-11 13:40:13,BASELINE,31.2,2026-06-11 15:29:13,2026-06-11 15:56:13,66
SIG-000098,LO-PS10-01037,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:54:19,MEDIUM,30.3,2026-06-11 09:22:19,2026-06-11 09:49:19,83
SIG-000099,LO-PS28-01008,OPTIONAL_TELEMATICS,2026-06-11 09:29:28,HIGH,35.0,2026-06-11 10:00:28,2026-06-11 10:27:28,85
SIG-000100,LO-PS10-01038,HISTORICAL_BASELINE,2026-06-11 11:56:31,BASELINE,41.2,2026-06-11 12:12:31,2026-06-11 12:39:31,60
SIG-000101,LO-PS25-01017,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:21:26,MEDIUM,22.5,2026-06-11 10:55:26,2026-06-11 11:22:26,85
SIG-000102,LO-PS10-01039,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:37:47,MEDIUM,41.7,2026-06-11 09:20:47,2026-06-11 09:47:47,72
SIG-000103,LO-PS10-01040,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:07:12,MEDIUM,62.6,2026-06-11 12:05:12,2026-06-11 12:32:12,82
SIG-000104,LO-PS28-01009,OPTIONAL_TELEMATICS,2026-06-11 10:08:03,HIGH,6.6,2026-06-11 10:38:03,2026-06-11 11:05:03,90
SIG-000105,LO-KOTPS1-01034,HISTORICAL_BASELINE,2026-06-11 09:28:10,BASELINE,64.9,2026-06-11 11:15:10,2026-06-11 11:42:10,67
SIG-000106,LO-PS10-01041,OPTIONAL_TELEMATICS,2026-06-11 10:35:33,HIGH,31.1,2026-06-11 11:58:33,2026-06-11 12:25:33,90
SIG-000107,LO-PS10-01042,HISTORICAL_BASELINE,2026-06-11 13:58:26,BASELINE,50.5,2026-06-11 15:22:26,2026-06-11 15:49:26,74
SIG-000108,LO-PS25-01019,HISTORICAL_BASELINE,2026-06-11 15:32:26,BASELINE,19.2,2026-06-11 17:12:26,2026-06-11 17:39:26,65
SIG-000109,LO-PS10-01043,HISTORICAL_BASELINE,2026-06-11 08:04:07,BASELINE,16.3,2026-06-11 09:00:07,2026-06-11 09:27:07,62
SIG-000110,LO-KOTPS1-01036,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:13:00,MEDIUM,34.0,2026-06-11 11:07:00,2026-06-11 11:34:00,75
SIG-000111,LO-PS10-01044,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 13:54:29,MEDIUM,33.0,2026-06-11 15:14:29,2026-06-11 15:41:29,83
SIG-000112,LO-PS10-01045,HISTORICAL_BASELINE,2026-06-11 16:29:29,BASELINE,58.6,2026-06-11 18:00:29,2026-06-11 18:27:29,65
SIG-000113,LO-PS10-01046,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 13:56:46,MEDIUM,9.7,2026-06-11 15:15:46,2026-06-11 15:42:46,85
SIG-000114,LO-PS10-01047,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 14:51:37,MEDIUM,27.1,2026-06-11 16:18:37,2026-06-11 16:45:37,76
SIG-000115,LO-PS10-01048,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 17:55:17,MEDIUM,17.9,2026-06-11 19:13:17,2026-06-11 19:40:17,76
SIG-000116,LO-PS10-01049,HISTORICAL_BASELINE,2026-06-11 14:53:02,BASELINE,5.5,2026-06-11 15:54:02,2026-06-11 16:21:02,70
SIG-000117,LO-PS25-01020,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 12:47:08,MEDIUM,16.7,2026-06-11 14:04:08,2026-06-11 14:31:08,79
SIG-000118,LO-PS10-01050,OPTIONAL_TELEMATICS,2026-06-11 15:27:50,HIGH,57.2,2026-06-11 17:29:50,2026-06-11 17:56:50,87
SIG-000119,LO-PS27-01015,HISTORICAL_BASELINE,2026-06-11 12:00:17,BASELINE,14.1,2026-06-11 12:20:17,2026-06-11 12:47:17,63
SIG-000120,LO-PS28-01010,OPTIONAL_TELEMATICS,2026-06-11 08:56:44,HIGH,36.3,2026-06-11 09:26:44,2026-06-11 09:53:44,87
SIG-000121,LO-PS10-01051,HISTORICAL_BASELINE,2026-06-11 14:16:35,BASELINE,28.2,2026-06-11 15:12:35,2026-06-11 15:39:35,73
SIG-000122,LO-PS10-01052,HISTORICAL_BASELINE,2026-06-11 13:49:54,BASELINE,63.3,2026-06-11 15:42:54,2026-06-11 16:09:54,73
SIG-000123,LO-PS10-01053,OPTIONAL_TELEMATICS,2026-06-11 08:36:52,HIGH,43.0,2026-06-11 09:45:52,2026-06-11 10:12:52,82
SIG-000124,LO-PS10-01054,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 09:29:22,MEDIUM,61.7,2026-06-11 10:57:22,2026-06-11 11:24:22,78
SIG-000125,LO-PS25-01021,OPTIONAL_TELEMATICS,2026-06-11 08:15:48,HIGH,36.0,2026-06-11 09:24:48,2026-06-11 09:51:48,84
SIG-000126,LO-KOTPS1-01037,HISTORICAL_BASELINE,2026-06-11 08:00:22,BASELINE,54.8,2026-06-11 09:08:22,2026-06-11 09:35:22,72
SIG-000127,LO-PS10-01055,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 10:06:55,MEDIUM,62.5,2026-06-11 11:53:55,2026-06-11 12:20:55,78
SIG-000128,LO-PS10-01056,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:40:27,MEDIUM,5.4,2026-06-11 12:15:27,2026-06-11 12:42:27,76
SIG-000129,LO-PS10-01058,OPTIONAL_TELEMATICS,2026-06-11 17:15:42,HIGH,62.5,2026-06-11 18:23:42,2026-06-11 18:50:42,85
SIG-000130,LO-PS10-01059,HISTORICAL_BASELINE,2026-06-11 06:39:50,BASELINE,12.9,2026-06-11 08:14:50,2026-06-11 08:41:50,75
SIG-000131,LO-PS10-01060,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:12:30,MEDIUM,24.2,2026-06-11 12:31:30,2026-06-11 12:58:30,83
SIG-000132,LO-PS10-01061,OPTIONAL_TELEMATICS,2026-06-11 06:53:34,HIGH,25.6,2026-06-11 07:06:34,2026-06-11 07:33:34,87
SIG-000133,LO-PS10-01062,OPTIONAL_TELEMATICS,2026-06-11 11:16:58,HIGH,6.3,2026-06-11 11:39:58,2026-06-11 12:06:58,89
SIG-000134,LO-PS25-01022,HISTORICAL_BASELINE,2026-06-11 16:40:03,BASELINE,27.2,2026-06-11 17:56:03,2026-06-11 18:23:03,74
SIG-000135,LO-PS27-01016,HISTORICAL_BASELINE,2026-06-11 09:42:01,BASELINE,15.2,2026-06-11 11:28:01,2026-06-11 11:55:01,65
SIG-000136,LO-PS25-01023,HISTORICAL_BASELINE,2026-06-11 15:28:03,BASELINE,33.1,2026-06-11 17:07:03,2026-06-11 17:34:03,60
SIG-000137,LO-KOTPS1-01040,HISTORICAL_BASELINE,2026-06-11 08:52:22,BASELINE,49.0,2026-06-11 10:20:22,2026-06-11 10:47:22,62
SIG-000138,LO-PS27-01017,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 08:49:49,MEDIUM,40.1,2026-06-11 09:54:49,2026-06-11 10:21:49,85
SIG-000139,LO-KOTPS1-01041,HISTORICAL_BASELINE,2026-06-12 10:17:38,BASELINE,61.0,2026-06-12 11:14:38,2026-06-12 11:41:38,74
SIG-000140,LO-KOTPS1-01042,HISTORICAL_BASELINE,2026-06-12 17:37:23,BASELINE,46.6,2026-06-12 18:05:23,2026-06-12 18:32:23,73
SIG-000141,LO-PS10-01063,HISTORICAL_BASELINE,2026-06-12 14:36:00,BASELINE,28.4,2026-06-12 15:14:00,2026-06-12 15:41:00,63
SIG-000142,LO-PS10-01064,HISTORICAL_BASELINE,2026-06-12 10:42:09,BASELINE,41.6,2026-06-12 11:28:09,2026-06-12 11:55:09,61
SIG-000143,LO-KOTPS1-01044,OPTIONAL_TELEMATICS,2026-06-12 16:03:04,HIGH,18.6,2026-06-12 16:49:04,2026-06-12 17:16:04,87
SIG-000144,LO-KOTPS1-01045,OPTIONAL_TELEMATICS,2026-06-12 13:21:23,HIGH,18.4,2026-06-12 14:03:23,2026-06-12 14:30:23,92
SIG-000145,LO-PS10-01065,OPTIONAL_TELEMATICS,2026-06-12 11:06:03,HIGH,27.5,2026-06-12 11:31:03,2026-06-12 11:58:03,86
SIG-000146,LO-PS10-01066,OPTIONAL_TELEMATICS,2026-06-12 06:40:05,HIGH,31.3,2026-06-12 08:05:05,2026-06-12 08:32:05,92
SIG-000147,LO-PS10-01067,OPTIONAL_TELEMATICS,2026-06-12 10:54:28,HIGH,26.2,2026-06-12 12:44:28,2026-06-12 13:11:28,83
SIG-000148,LO-PS10-01068,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 09:43:50,MEDIUM,26.6,2026-06-12 10:38:50,2026-06-12 11:05:50,73
SIG-000149,LO-KOTPS1-01046,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 10:07:42,MEDIUM,40.0,2026-06-12 12:01:42,2026-06-12 12:28:42,78
SIG-000150,LO-PS10-01070,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 16:22:16,MEDIUM,64.8,2026-06-12 17:03:16,2026-06-12 17:30:16,83
SIG-000151,LO-PS10-01071,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 10:51:14,MEDIUM,58.6,2026-06-12 11:37:14,2026-06-12 12:04:14,81
SIG-000152,LO-PS28-01012,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 10:12:34,MEDIUM,45.2,2026-06-12 11:06:34,2026-06-12 11:33:34,75
SIG-000153,LO-KOTPS1-01047,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 09:22:12,MEDIUM,26.3,2026-06-12 10:51:12,2026-06-12 11:18:12,83
SIG-000154,LO-PS10-01072,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 09:27:43,MEDIUM,22.8,2026-06-12 10:37:43,2026-06-12 11:04:43,73
SIG-000155,LO-PS25-01025,HISTORICAL_BASELINE,2026-06-12 08:32:07,BASELINE,40.8,2026-06-12 09:35:07,2026-06-12 10:02:07,71
SIG-000156,LO-PS25-01026,HISTORICAL_BASELINE,2026-06-12 09:48:20,BASELINE,47.2,2026-06-12 10:24:20,2026-06-12 10:51:20,74
SIG-000157,LO-PS10-01073,HISTORICAL_BASELINE,2026-06-12 17:14:46,BASELINE,18.5,2026-06-12 17:27:46,2026-06-12 17:54:46,62
SIG-000158,LO-KOTPS1-01048,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 15:36:13,MEDIUM,45.1,2026-06-12 17:10:13,2026-06-12 17:37:13,75
SIG-000159,LO-PS10-01074,OPTIONAL_TRAFFIC_SIGNAL,2026-06-12 10:18:00,MEDIUM,8.3,2026-06-12 10:55:00,2026-06-12 11:22:00,78
