staging_id,order_id,depot_id,staging_area_id,queue_entry_time,queue_exit_time,wait_duration_minutes,queue_reason,initial_predicted_wait_min
STG-000124,LO-PS10-01050,nairobi,Staging Bay C3,2026-06-11 18:22:53,2026-06-11 18:46:54,24.02,ARRIVAL_CLUSTERING,25.2
STG-000125,LO-PS27-01015,eldoret,Staging Bay A3,2026-06-11 12:52:41,2026-06-11 13:23:30,30.81,ARRIVAL_CLUSTERING,35.1
STG-000126,LO-PS28-01010,kisumu,Staging Bay B4,2026-06-11 09:39:27,2026-06-11 10:14:12,34.74,ARRIVAL_CLUSTERING,31.0
STG-000127,LO-PS10-01051,nairobi,Staging Bay A2,2026-06-11 16:05:05,2026-06-11 16:23:02,17.96,LOADING_CAPACITY_PRESSURE,16.8
STG-000128,LO-PS10-01053,nairobi,Staging Bay C5,2026-06-11 10:17:08,2026-06-11 10:35:10,18.02,ARRIVAL_CLUSTERING,15.7
STG-000129,LO-PS10-01054,nairobi,Staging Bay B5,2026-06-11 12:08:29,2026-06-11 12:56:18,47.81,ARRIVAL_CLUSTERING,49.5
STG-000130,LO-PS25-01021,nakuru,Staging Bay B1,2026-06-11 10:42:06,2026-06-11 11:16:38,34.54,ARRIVAL_CLUSTERING,33.9
STG-000131,LO-KOTPS1-01037,mombasa,Staging Bay A5,2026-06-11 09:58:17,2026-06-11 10:06:38,8.35,NOMINAL_FLOW,8.1
STG-000132,LO-PS10-01055,nairobi,Staging Bay B3,2026-06-11 12:14:30,2026-06-11 12:46:42,32.2,ARRIVAL_CLUSTERING,33.0
STG-000133,LO-KOTPS1-01038,mombasa,Staging Bay B3,2026-06-11 15:50:13,2026-06-11 15:56:15,6.04,NOMINAL_FLOW,6.1
STG-000134,LO-KOTPS1-01039,mombasa,Staging Bay A4,2026-06-11 14:03:54,2026-06-11 14:09:08,5.23,LOADING_CAPACITY_PRESSURE,4.9
STG-000135,LO-PS10-01056,nairobi,Staging Bay B1,2026-06-11 12:44:47,2026-06-11 13:22:55,38.13,ARRIVAL_CLUSTERING,42.8
STG-000136,LO-PS10-01057,nairobi,Staging Bay C4,2026-06-11 10:13:50,2026-06-11 10:23:30,9.68,NOMINAL_FLOW,8.9
STG-000137,LO-PS10-01058,nairobi,Staging Bay C4,2026-06-11 18:20:17,2026-06-11 18:42:13,21.94,ARRIVAL_CLUSTERING,23.0
STG-000138,LO-PS10-01059,nairobi,Staging Bay B4,2026-06-11 08:47:55,2026-06-11 08:56:32,8.61,NOMINAL_FLOW,8.2
STG-000139,LO-PS28-01011,kisumu,Staging Bay A5,2026-06-11 13:34:26,2026-06-11 13:51:49,17.39,LOADING_CAPACITY_PRESSURE,19.4
STG-000140,LO-PS10-01060,nairobi,Staging Bay A2,2026-06-11 13:09:01,2026-06-11 13:45:51,36.84,ARRIVAL_CLUSTERING,32.5
STG-000141,LO-PS10-01061,nairobi,Staging Bay B4,2026-06-11 07:12:01,2026-06-11 07:24:04,12.06,NOMINAL_FLOW,13.3
STG-000142,LO-PS10-01062,nairobi,Staging Bay B3,2026-06-11 12:08:39,2026-06-11 12:52:53,44.24,ARRIVAL_CLUSTERING,42.4
STG-000143,LO-PS25-01022,nakuru,Staging Bay C4,2026-06-11 18:35:13,2026-06-11 19:11:10,35.96,ARRIVAL_CLUSTERING,32.3
STG-000144,LO-PS25-01023,nakuru,Staging Bay B5,2026-06-11 17:56:07,2026-06-11 18:31:55,35.81,ARRIVAL_CLUSTERING,35.5
STG-000145,LO-KOTPS1-01040,mombasa,Staging Bay B4,2026-06-11 10:52:10,2026-06-11 11:19:00,26.83,ARRIVAL_CLUSTERING,25.6
STG-000146,LO-PS27-01017,eldoret,Staging Bay C4,2026-06-11 10:06:02,2026-06-11 10:43:13,37.18,ARRIVAL_CLUSTERING,39.9
STG-000147,LO-KOTPS1-01041,mombasa,Staging Bay C5,2026-06-12 11:31:10,2026-06-12 11:56:17,25.11,ARRIVAL_CLUSTERING,22.8
STG-000148,LO-KOTPS1-01042,mombasa,Staging Bay A4,2026-06-12 19:13:16,2026-06-12 19:22:28,9.2,LOADING_CAPACITY_PRESSURE,8.8
STG-000149,LO-PS10-01063,nairobi,Staging Bay A3,2026-06-12 15:59:35,2026-06-12 16:29:13,29.64,ARRIVAL_CLUSTERING,31.9
STG-000150,LO-PS10-01064,nairobi,Staging Bay C1,2026-06-12 12:15:28,2026-06-12 12:57:11,41.71,ARRIVAL_CLUSTERING,47.7
STG-000151,LO-KOTPS1-01043,mombasa,Staging Bay A2,2026-06-12 15:28:28,2026-06-12 15:32:51,4.38,NOMINAL_FLOW,4.8
STG-000152,LO-KOTPS1-01044,mombasa,Staging Bay C1,2026-06-12 17:40:40,2026-06-12 17:59:09,18.48,ARRIVAL_CLUSTERING,21.1
STG-000153,LO-KOTPS1-01045,mombasa,Staging Bay B4,2026-06-12 14:57:22,2026-06-12 15:02:44,5.37,NOMINAL_FLOW,5.0
STG-000154,LO-PS25-01024,nakuru,Staging Bay C4,2026-06-12 15:51:13,2026-06-12 16:06:43,15.49,LOADING_CAPACITY_PRESSURE,14.9
STG-000155,LO-PS10-01065,nairobi,Staging Bay C3,2026-06-12 12:26:28,2026-06-12 13:07:17,40.82,ARRIVAL_CLUSTERING,46.0
STG-000156,LO-PS10-01066,nairobi,Staging Bay A1,2026-06-12 08:15:57,2026-06-12 08:26:58,11.01,LOADING_CAPACITY_PRESSURE,11.8
STG-000157,LO-PS10-01067,nairobi,Staging Bay A4,2026-06-12 13:02:09,2026-06-12 13:37:02,34.87,ARRIVAL_CLUSTERING,38.0
STG-000158,LO-PS10-01068,nairobi,Staging Bay B1,2026-06-12 11:48:01,2026-06-12 12:10:02,22.02,ARRIVAL_CLUSTERING,23.8
STG-000159,LO-PS10-01069,nairobi,Staging Bay A5,2026-06-12 14:22:30,2026-06-12 14:34:51,12.35,LOADING_CAPACITY_PRESSURE,13.0
STG-000160,LO-KOTPS1-01046,mombasa,Staging Bay A4,2026-06-12 12:48:54,2026-06-12 13:07:33,18.65,ARRIVAL_CLUSTERING,16.9
STG-000161,LO-PS10-01070,nairobi,Staging Bay C1,2026-06-12 17:54:30,2026-06-12 18:22:41,28.19,ARRIVAL_CLUSTERING,30.4
STG-000162,LO-PS10-01071,nairobi,Staging Bay C3,2026-06-12 12:17:55,2026-06-12 13:00:52,42.94,ARRIVAL_CLUSTERING,41.1
STG-000163,LO-PS28-01012,kisumu,Staging Bay A3,2026-06-12 12:20:19,2026-06-12 12:55:49,35.5,ARRIVAL_CLUSTERING,40.4
STG-000164,LO-KOTPS1-01047,mombasa,Staging Bay B4,2026-06-12 11:40:16,2026-06-12 12:09:38,29.37,ARRIVAL_CLUSTERING,26.1
STG-000165,LO-PS10-01072,nairobi,Staging Bay C4,2026-06-12 11:13:08,2026-06-12 11:29:54,16.76,ARRIVAL_CLUSTERING,15.8
STG-000166,LO-PS25-01026,nakuru,Staging Bay C3,2026-06-12 11:26:16,2026-06-12 11:57:43,31.45,ARRIVAL_CLUSTERING,30.2
STG-000167,LO-PS10-01073,nairobi,Staging Bay C3,2026-06-12 18:17:06,2026-06-12 18:34:49,17.7,ARRIVAL_CLUSTERING,15.6
STG-000168,LO-KOTPS1-01048,mombasa,Staging Bay C1,2026-06-12 17:34:38,2026-06-12 18:20:56,46.3,ARRIVAL_CLUSTERING,46.5
STG-000169,LO-PS10-01074,nairobi,Staging Bay A5,2026-06-12 11:41:53,2026-06-12 12:01:34,19.68,ARRIVAL_CLUSTERING,17.8
STG-000170,LO-PS25-01027,nakuru,Staging Bay C2,2026-06-12 15:21:33,2026-06-12 15:37:57,16.4,NOMINAL_FLOW,14.6
