order_id,omc_id,depot_id,truck_id,product_id,ordered_quantity_litres,order_registered_time,expected_arrival_time,scheduled_window_start,scheduled_window_end,order_status,cancellation_reason
LO-KOTPS1-01005,vivo,mombasa,TRK-0390,PMS,38000,2026-06-11 17:25:23,2026-06-11 19:18:23,2026-06-11 19:03:23,2026-06-11 20:03:23,COMPLETED,
LO-KOTPS1-01006,rubis,mombasa,TRK-0529,AGO,36000,2026-06-11 06:21:16,2026-06-11 07:07:16,2026-06-11 06:52:16,2026-06-11 07:52:16,COMPLETED,
LO-PS27-01004,totalenergies,eldoret,TRK-0342,AGO,34000,2026-06-11 07:52:27,2026-06-11 09:29:27,2026-06-11 09:14:27,2026-06-11 10:14:27,COMPLETED,
LO-KOTPS1-01007,ola,mombasa,TRK-0301,PMS,40000,2026-06-11 09:34:33,2026-06-11 12:02:33,2026-06-11 11:47:33,2026-06-11 12:47:33,COMPLETED,
LO-PS10-01011,vivo,nairobi,TRK-0605,JET-A1,28000,2026-06-11 09:42:22,2026-06-11 11:34:22,2026-06-11 11:19:22,2026-06-11 12:19:22,COMPLETED,
LO-PS10-01012,vivo,nairobi,TRK-0017,PMS,34000,2026-06-11 09:54:58,2026-06-11 10:47:58,2026-06-11 10:32:58,2026-06-11 11:32:58,COMPLETED,
LO-KOTPS1-01008,vivo,mombasa,TRK-0016,PMS,32000,2026-06-11 09:27:36,2026-06-11 11:49:36,2026-06-11 11:34:36,2026-06-11 12:34:36,REJECTED,
LO-PS10-01013,totalenergies,nairobi,TRK-0586,AGO,38000,2026-06-11 07:24:20,2026-06-11 08:58:20,2026-06-11 08:43:20,2026-06-11 09:43:20,COMPLETED,
LO-PS10-01014,ola,nairobi,TRK-0361,PMS,32000,2026-06-11 07:05:17,2026-06-11 08:37:17,2026-06-11 08:22:17,2026-06-11 09:22:17,COMPLETED,
LO-PS25-01006,rubis,nakuru,TRK-0230,AGO,34000,2026-06-11 07:32:53,2026-06-11 08:59:53,2026-06-11 08:44:53,2026-06-11 09:44:53,COMPLETED,
LO-KOTPS1-01009,ola,mombasa,TRK-0396,DPK,34000,2026-06-11 09:46:42,2026-06-11 10:39:42,2026-06-11 10:24:42,2026-06-11 11:24:42,COMPLETED,
LO-KOTPS1-01010,totalenergies,mombasa,TRK-0181,AGO,32000,2026-06-11 08:14:37,2026-06-11 09:33:37,2026-06-11 09:18:37,2026-06-11 10:18:37,COMPLETED,
LO-KOTPS1-01011,hass,mombasa,TRK-0588,PMS,28000,2026-06-11 07:58:01,2026-06-11 09:30:01,2026-06-11 09:15:01,2026-06-11 10:15:01,COMPLETED,
LO-PS10-01015,totalenergies,nairobi,TRK-0702,AGO,36000,2026-06-11 08:40:48,2026-06-11 10:08:48,2026-06-11 09:53:48,2026-06-11 10:53:48,REJECTED,
LO-PS28-01002,rubis,kisumu,TRK-0354,PMS,38000,2026-06-11 11:11:23,2026-06-11 12:42:23,2026-06-11 12:27:23,2026-06-11 13:27:23,COMPLETED,
LO-PS28-01003,rubis,kisumu,TRK-0433,PMS,36000,2026-06-11 07:50:59,2026-06-11 09:33:59,2026-06-11 09:18:59,2026-06-11 10:18:59,COMPLETED,
LO-KOTPS1-01012,totalenergies,mombasa,TRK-0512,AGO,40000,2026-06-11 16:48:50,2026-06-11 18:44:50,2026-06-11 18:29:50,2026-06-11 19:29:50,COMPLETED,
LO-PS10-01016,rubis,nairobi,TRK-0700,AGO,32000,2026-06-11 13:57:16,2026-06-11 15:13:16,2026-06-11 14:58:16,2026-06-11 15:58:16,REJECTED,
LO-PS25-01007,vivo,nakuru,TRK-0565,AGO,32000,2026-06-11 11:55:41,2026-06-11 14:03:41,2026-06-11 13:48:41,2026-06-11 14:48:41,COMPLETED,
LO-KOTPS1-01013,totalenergies,mombasa,TRK-0530,DPK,36000,2026-06-11 08:57:29,2026-06-11 10:43:29,2026-06-11 10:28:29,2026-06-11 11:28:29,COMPLETED,
LO-PS10-01017,petrocity,nairobi,TRK-0442,JET-A1,38000,2026-06-11 10:10:32,2026-06-11 12:04:32,2026-06-11 11:49:32,2026-06-11 12:49:32,REJECTED,
LO-PS10-01018,totalenergies,nairobi,TRK-0241,AGO,36000,2026-06-11 07:20:15,2026-06-11 08:47:15,2026-06-11 08:32:15,2026-06-11 09:32:15,COMPLETED,
LO-PS10-01019,vivo,nairobi,TRK-0460,DPK,40000,2026-06-11 13:56:59,2026-06-11 15:16:59,2026-06-11 15:01:59,2026-06-11 16:01:59,COMPLETED,
LO-KOTPS1-01014,rubis,mombasa,TRK-0015,PMS,34000,2026-06-11 08:23:29,2026-06-11 10:48:29,2026-06-11 10:33:29,2026-06-11 11:33:29,COMPLETED,
LO-KOTPS1-01015,totalenergies,mombasa,TRK-0717,PMS,34000,2026-06-11 10:47:44,2026-06-11 12:47:44,2026-06-11 12:32:44,2026-06-11 13:32:44,COMPLETED,
LO-PS10-01020,ola,nairobi,TRK-0087,AGO,34000,2026-06-11 11:16:29,2026-06-11 13:42:29,2026-06-11 13:27:29,2026-06-11 14:27:29,COMPLETED,
LO-PS10-01021,lakeoil,nairobi,TRK-0579,DPK,36000,2026-06-11 10:33:25,2026-06-11 12:56:25,2026-06-11 12:41:25,2026-06-11 13:41:25,COMPLETED,
LO-KOTPS1-01016,vivo,mombasa,TRK-0625,PMS,28000,2026-06-11 11:03:55,2026-06-11 12:28:55,2026-06-11 12:13:55,2026-06-11 13:13:55,COMPLETED,
LO-KOTPS1-01017,totalenergies,mombasa,TRK-0434,PMS,36000,2026-06-11 08:22:28,2026-06-11 10:25:28,2026-06-11 10:10:28,2026-06-11 11:10:28,COMPLETED,
LO-PS27-01005,totalenergies,eldoret,TRK-0610,DPK,40000,2026-06-11 14:09:43,2026-06-11 16:30:43,2026-06-11 16:15:43,2026-06-11 17:15:43,COMPLETED,
LO-KOTPS1-01018,hass,mombasa,TRK-0111,PMS,34000,2026-06-11 13:27:47,2026-06-11 15:25:47,2026-06-11 15:10:47,2026-06-11 16:10:47,COMPLETED,
LO-PS27-01006,ola,eldoret,TRK-0092,DPK,34000,2026-06-11 14:58:31,2026-06-11 16:44:31,2026-06-11 16:29:31,2026-06-11 17:29:31,COMPLETED,
LO-KOTPS1-01019,vivo,mombasa,TRK-0246,AGO,34000,2026-06-11 11:50:26,2026-06-11 14:06:26,2026-06-11 13:51:26,2026-06-11 14:51:26,COMPLETED,
LO-PS27-01007,rubis,eldoret,TRK-0630,PMS,32000,2026-06-11 09:27:30,2026-06-11 10:58:30,2026-06-11 10:43:30,2026-06-11 11:43:30,COMPLETED,
LO-PS28-01004,totalenergies,kisumu,TRK-0745,PMS,36000,2026-06-11 08:52:30,2026-06-11 10:13:30,2026-06-11 09:58:30,2026-06-11 10:58:30,COMPLETED,
LO-PS27-01008,lakeoil,eldoret,TRK-0398,PMS,36000,2026-06-11 10:42:44,2026-06-11 13:06:44,2026-06-11 12:51:44,2026-06-11 13:51:44,COMPLETED,
LO-KOTPS1-01020,hass,mombasa,TRK-0147,AGO,36000,2026-06-11 06:34:35,2026-06-11 08:54:35,2026-06-11 08:39:35,2026-06-11 09:39:35,COMPLETED,
LO-PS27-01009,rubis,eldoret,TRK-0341,PMS,32000,2026-06-11 11:15:57,2026-06-11 12:04:57,2026-06-11 11:49:57,2026-06-11 12:49:57,COMPLETED,
LO-KOTPS1-01021,totalenergies,mombasa,TRK-0080,PMS,38000,2026-06-11 08:53:48,2026-06-11 11:03:48,2026-06-11 10:48:48,2026-06-11 11:48:48,COMPLETED,
LO-PS25-01008,rubis,nakuru,TRK-0653,PMS,36000,2026-06-11 10:18:04,2026-06-11 12:41:04,2026-06-11 12:26:04,2026-06-11 13:26:04,COMPLETED,
LO-KOTPS1-01022,totalenergies,mombasa,TRK-0268,JET-A1,34000,2026-06-11 07:59:58,2026-06-11 09:22:58,2026-06-11 09:07:58,2026-06-11 10:07:58,COMPLETED,
LO-PS10-01022,ola,nairobi,TRK-0652,PMS,28000,2026-06-11 07:59:03,2026-06-11 10:12:03,2026-06-11 09:57:03,2026-06-11 10:57:03,COMPLETED,
LO-PS10-01023,hass,nairobi,TRK-0601,PMS,32000,2026-06-11 11:55:29,2026-06-11 13:39:29,2026-06-11 13:24:29,2026-06-11 14:24:29,COMPLETED,
LO-PS10-01024,totalenergies,nairobi,TRK-0407,AGO,40000,2026-06-11 12:44:51,2026-06-11 14:44:51,2026-06-11 14:29:51,2026-06-11 15:29:51,COMPLETED,
LO-PS10-01025,rubis,nairobi,TRK-0655,AGO,36000,2026-06-11 17:20:11,2026-06-11 18:12:11,2026-06-11 17:57:11,2026-06-11 18:57:11,COMPLETED,
LO-PS25-01009,lakeoil,nakuru,TRK-0668,AGO,34000,2026-06-11 13:12:22,2026-06-11 14:18:22,2026-06-11 14:03:22,2026-06-11 15:03:22,COMPLETED,
LO-PS25-01010,rubis,nakuru,TRK-0689,DPK,34000,2026-06-11 16:40:08,2026-06-11 17:47:08,2026-06-11 17:32:08,2026-06-11 18:32:08,COMPLETED,
LO-PS27-01010,ola,eldoret,TRK-0621,PMS,40000,2026-06-11 13:21:03,2026-06-11 14:06:03,2026-06-11 13:51:03,2026-06-11 14:51:03,COMPLETED,
LO-PS28-01005,totalenergies,kisumu,TRK-0143,JET-A1,36000,2026-06-11 07:42:32,2026-06-11 10:02:32,2026-06-11 09:47:32,2026-06-11 10:47:32,COMPLETED,
LO-PS10-01026,hass,nairobi,TRK-0296,AGO,32000,2026-06-11 06:00:02,2026-06-11 06:55:02,2026-06-11 06:40:02,2026-06-11 07:40:02,COMPLETED,
LO-PS25-01011,vivo,nakuru,TRK-0285,PMS,40000,2026-06-11 07:08:50,2026-06-11 08:19:50,2026-06-11 08:04:50,2026-06-11 09:04:50,COMPLETED,
LO-PS10-01027,totalenergies,nairobi,TRK-0492,AGO,32000,2026-06-11 09:02:00,2026-06-11 10:33:00,2026-06-11 10:18:00,2026-06-11 11:18:00,COMPLETED,
LO-PS25-01012,vivo,nakuru,TRK-0423,AGO,34000,2026-06-11 09:20:39,2026-06-11 10:14:39,2026-06-11 09:59:39,2026-06-11 10:59:39,COMPLETED,
LO-PS10-01028,hass,nairobi,TRK-0301,PMS,40000,2026-06-11 08:17:08,2026-06-11 10:26:08,2026-06-11 10:11:08,2026-06-11 11:11:08,COMPLETED,
LO-PS28-01006,ola,kisumu,TRK-0723,PMS,36000,2026-06-11 07:43:02,2026-06-11 10:13:02,2026-06-11 09:58:02,2026-06-11 10:58:02,COMPLETED,
LO-KOTPS1-01023,totalenergies,mombasa,TRK-0211,PMS,36000,2026-06-11 14:07:46,2026-06-11 15:24:46,2026-06-11 15:09:46,2026-06-11 16:09:46,COMPLETED,
LO-KOTPS1-01024,hass,mombasa,TRK-0146,AGO,36000,2026-06-11 17:37:52,2026-06-11 18:35:52,2026-06-11 18:20:52,2026-06-11 19:20:52,COMPLETED,
LO-PS10-01029,ola,nairobi,TRK-0537,AGO,40000,2026-06-11 08:30:06,2026-06-11 09:18:06,2026-06-11 09:03:06,2026-06-11 10:03:06,COMPLETED,
LO-PS10-01030,rubis,nairobi,TRK-0331,PMS,40000,2026-06-11 15:25:41,2026-06-11 17:03:41,2026-06-11 16:48:41,2026-06-11 17:48:41,COMPLETED,
LO-PS25-01013,vivo,nakuru,TRK-0683,PMS,34000,2026-06-11 11:03:36,2026-06-11 12:50:36,2026-06-11 12:35:36,2026-06-11 13:35:36,COMPLETED,
LO-PS28-01007,totalenergies,kisumu,TRK-0003,PMS,36000,2026-06-11 07:39:21,2026-06-11 09:38:21,2026-06-11 09:23:21,2026-06-11 10:23:21,CANCELLED,WEATHER_ROUTE_CLOSURE
LO-KOTPS1-01025,totalenergies,mombasa,TRK-0203,AGO,34000,2026-06-11 07:54:54,2026-06-11 10:14:54,2026-06-11 09:59:54,2026-06-11 10:59:54,COMPLETED,
LO-PS10-01031,totalenergies,nairobi,TRK-0617,AGO,28000,2026-06-11 09:21:31,2026-06-11 10:29:31,2026-06-11 10:14:31,2026-06-11 11:14:31,COMPLETED,
LO-KOTPS1-01026,totalenergies,mombasa,TRK-0213,PMS,36000,2026-06-11 11:21:22,2026-06-11 13:30:22,2026-06-11 13:15:22,2026-06-11 14:15:22,COMPLETED,
LO-PS27-01011,hass,eldoret,TRK-0603,PMS,34000,2026-06-11 09:02:10,2026-06-11 10:35:10,2026-06-11 10:20:10,2026-06-11 11:20:10,COMPLETED,
LO-PS25-01014,lakeoil,nakuru,TRK-0294,PMS,34000,2026-06-11 10:48:08,2026-06-11 12:18:08,2026-06-11 12:03:08,2026-06-11 13:03:08,COMPLETED,
LO-KOTPS1-01027,hass,mombasa,TRK-0478,AGO,34000,2026-06-11 16:27:43,2026-06-11 17:53:43,2026-06-11 17:38:43,2026-06-11 18:38:43,COMPLETED,
LO-KOTPS1-01028,vivo,mombasa,TRK-0688,PMS,36000,2026-06-11 11:02:55,2026-06-11 11:56:55,2026-06-11 11:41:55,2026-06-11 12:41:55,COMPLETED,
LO-PS27-01012,hass,eldoret,TRK-0073,AGO,40000,2026-06-11 11:31:12,2026-06-11 12:50:12,2026-06-11 12:35:12,2026-06-11 13:35:12,COMPLETED,
LO-PS25-01015,ola,nakuru,TRK-0073,AGO,40000,2026-06-11 15:21:27,2026-06-11 16:51:27,2026-06-11 16:36:27,2026-06-11 17:36:27,COMPLETED,
LO-KOTPS1-01029,totalenergies,mombasa,TRK-0435,PMS,34000,2026-06-11 11:10:13,2026-06-11 13:25:13,2026-06-11 13:10:13,2026-06-11 14:10:13,COMPLETED,
LO-KOTPS1-01030,rubis,mombasa,TRK-0415,PMS,40000,2026-06-11 08:09:52,2026-06-11 09:20:52,2026-06-11 09:05:52,2026-06-11 10:05:52,COMPLETED,
LO-KOTPS1-01031,totalenergies,mombasa,TRK-0064,AGO,32000,2026-06-11 13:42:13,2026-06-11 16:01:13,2026-06-11 15:46:13,2026-06-11 16:46:13,COMPLETED,
LO-PS10-01032,petrocity,nairobi,TRK-0722,PMS,38000,2026-06-11 10:04:01,2026-06-11 11:32:01,2026-06-11 11:17:01,2026-06-11 12:17:01,COMPLETED,
LO-PS27-01013,lakeoil,eldoret,TRK-0322,PMS,34000,2026-06-11 07:26:27,2026-06-11 08:35:27,2026-06-11 08:20:27,2026-06-11 09:20:27,COMPLETED,
LO-PS10-01033,totalenergies,nairobi,TRK-0031,AGO,36000,2026-06-11 13:03:10,2026-06-11 14:14:10,2026-06-11 13:59:10,2026-06-11 14:59:10,COMPLETED,
LO-KOTPS1-01032,vivo,mombasa,TRK-0611,JET-A1,38000,2026-06-11 06:20:42,2026-06-11 07:49:42,2026-06-11 07:34:42,2026-06-11 08:34:42,COMPLETED,
LO-PS25-01016,vivo,nakuru,TRK-0161,DPK,34000,2026-06-11 10:51:00,2026-06-11 12:41:00,2026-06-11 12:26:00,2026-06-11 13:26:00,COMPLETED,
LO-PS27-01014,ola,eldoret,TRK-0620,AGO,32000,2026-06-11 10:26:51,2026-06-11 12:36:51,2026-06-11 12:21:51,2026-06-11 13:21:51,COMPLETED,
LO-PS10-01034,vivo,nairobi,TRK-0571,DPK,38000,2026-06-11 16:04:10,2026-06-11 17:36:10,2026-06-11 17:21:10,2026-06-11 18:21:10,COMPLETED,
LO-PS10-01035,vivo,nairobi,TRK-0165,PMS,28000,2026-06-11 06:45:17,2026-06-11 07:41:17,2026-06-11 07:26:17,2026-06-11 08:26:17,COMPLETED,
LO-PS10-01036,petrocity,nairobi,TRK-0088,PMS,32000,2026-06-11 13:11:13,2026-06-11 15:41:13,2026-06-11 15:26:13,2026-06-11 16:26:13,COMPLETED,
LO-PS10-01037,hass,nairobi,TRK-0362,PMS,28000,2026-06-11 08:43:19,2026-06-11 09:34:19,2026-06-11 09:19:19,2026-06-11 10:19:19,COMPLETED,
LO-PS28-01008,vivo,kisumu,TRK-0441,AGO,40000,2026-06-11 09:14:28,2026-06-11 10:12:28,2026-06-11 09:57:28,2026-06-11 10:57:28,COMPLETED,
LO-KOTPS1-01033,ola,mombasa,TRK-0665,AGO,38000,2026-06-11 11:23:03,2026-06-11 13:02:03,2026-06-11 12:47:03,2026-06-11 13:47:03,COMPLETED,
LO-PS10-01038,vivo,nairobi,TRK-0452,PMS,28000,2026-06-11 11:31:31,2026-06-11 12:24:31,2026-06-11 12:09:31,2026-06-11 13:09:31,COMPLETED,
LO-PS25-01017,vivo,nakuru,TRK-0698,DPK,38000,2026-06-11 09:59:26,2026-06-11 11:07:26,2026-06-11 10:52:26,2026-06-11 11:52:26,COMPLETED,
LO-PS10-01039,hass,nairobi,TRK-0714,AGO,38000,2026-06-11 08:08:47,2026-06-11 09:32:47,2026-06-11 09:17:47,2026-06-11 10:17:47,COMPLETED,
LO-PS10-01040,totalenergies,nairobi,TRK-0161,PMS,34000,2026-06-11 10:38:12,2026-06-11 12:17:12,2026-06-11 12:02:12,2026-06-11 13:02:12,COMPLETED,
LO-PS28-01009,totalenergies,kisumu,TRK-0689,JET-A1,34000,2026-06-11 09:54:03,2026-06-11 10:50:03,2026-06-11 10:35:03,2026-06-11 11:35:03,COMPLETED,
LO-PS25-01018,totalenergies,nakuru,TRK-0028,PMS,36000,2026-06-11 07:44:49,2026-06-11 10:13:49,2026-06-11 09:58:49,2026-06-11 10:58:49,COMPLETED,
LO-KOTPS1-01034,vivo,mombasa,TRK-0580,AGO,36000,2026-06-11 09:14:10,2026-06-11 11:27:10,2026-06-11 11:12:10,2026-06-11 12:12:10,COMPLETED,
LO-KOTPS1-01035,lakeoil,mombasa,TRK-0531,PMS,40000,2026-06-11 08:05:09,2026-06-11 09:40:09,2026-06-11 09:25:09,2026-06-11 10:25:09,COMPLETED,
LO-PS10-01041,rubis,nairobi,TRK-0476,AGO,40000,2026-06-11 10:09:33,2026-06-11 12:10:33,2026-06-11 11:55:33,2026-06-11 12:55:33,COMPLETED,
LO-PS10-01042,lakeoil,nairobi,TRK-0580,JET-A1,36000,2026-06-11 13:37:26,2026-06-11 15:34:26,2026-06-11 15:19:26,2026-06-11 16:19:26,COMPLETED,
LO-PS25-01019,rubis,nakuru,TRK-0580,AGO,36000,2026-06-11 15:15:26,2026-06-11 17:24:26,2026-06-11 17:09:26,2026-06-11 18:09:26,COMPLETED,
LO-PS10-01043,lakeoil,nairobi,TRK-0267,AGO,34000,2026-06-11 07:50:07,2026-06-11 09:12:07,2026-06-11 08:57:07,2026-06-11 09:57:07,COMPLETED,
LO-KOTPS1-01036,rubis,mombasa,TRK-0622,PMS,40000,2026-06-11 09:58:00,2026-06-11 11:19:00,2026-06-11 11:04:00,2026-06-11 12:04:00,COMPLETED,
LO-PS10-01044,totalenergies,nairobi,TRK-0054,PMS,36000,2026-06-11 13:41:29,2026-06-11 15:26:29,2026-06-11 15:11:29,2026-06-11 16:11:29,COMPLETED,
LO-PS10-01045,totalenergies,nairobi,TRK-0355,AGO,38000,2026-06-11 16:13:29,2026-06-11 18:12:29,2026-06-11 17:57:29,2026-06-11 18:57:29,COMPLETED,
LO-PS10-01046,ola,nairobi,TRK-0677,PMS,40000,2026-06-11 13:41:46,2026-06-11 15:27:46,2026-06-11 15:12:46,2026-06-11 16:12:46,COMPLETED,
LO-PS10-01047,rubis,nairobi,TRK-0738,PMS,28000,2026-06-11 14:33:37,2026-06-11 16:30:37,2026-06-11 16:15:37,2026-06-11 17:15:37,COMPLETED,
LO-PS10-01048,totalenergies,nairobi,TRK-0078,AGO,32000,2026-06-11 17:26:17,2026-06-11 19:25:17,2026-06-11 19:10:17,2026-06-11 20:10:17,COMPLETED,
LO-PS10-01049,vivo,nairobi,TRK-0572,PMS,28000,2026-06-11 14:41:02,2026-06-11 16:06:02,2026-06-11 15:51:02,2026-06-11 16:51:02,COMPLETED,
LO-PS25-01020,vivo,nakuru,TRK-0181,PMS,32000,2026-06-11 12:29:08,2026-06-11 14:16:08,2026-06-11 14:01:08,2026-06-11 15:01:08,COMPLETED,
LO-PS10-01050,lakeoil,nairobi,TRK-0367,PMS,28000,2026-06-11 15:16:50,2026-06-11 17:41:50,2026-06-11 17:26:50,2026-06-11 18:26:50,COMPLETED,
LO-PS27-01015,vivo,eldoret,TRK-0394,PMS,28000,2026-06-11 11:34:17,2026-06-11 12:32:17,2026-06-11 12:17:17,2026-06-11 13:17:17,COMPLETED,
LO-PS28-01010,rubis,kisumu,TRK-0645,PMS,34000,2026-06-11 08:38:44,2026-06-11 09:38:44,2026-06-11 09:23:44,2026-06-11 10:23:44,COMPLETED,
LO-PS10-01051,ola,nairobi,TRK-0452,PMS,28000,2026-06-11 13:56:35,2026-06-11 15:24:35,2026-06-11 15:09:35,2026-06-11 16:09:35,COMPLETED,
LO-PS10-01052,petrocity,nairobi,TRK-0278,PMS,32000,2026-06-11 13:39:54,2026-06-11 15:54:54,2026-06-11 15:39:54,2026-06-11 16:39:54,CANCELLED,OMC_ALLOCATION_EXCEEDED
LO-PS10-01053,rubis,nairobi,TRK-0160,PMS,32000,2026-06-11 08:10:52,2026-06-11 09:57:52,2026-06-11 09:42:52,2026-06-11 10:42:52,COMPLETED,
LO-PS10-01054,totalenergies,nairobi,TRK-0376,DPK,34000,2026-06-11 09:07:22,2026-06-11 11:09:22,2026-06-11 10:54:22,2026-06-11 11:54:22,COMPLETED,
LO-PS25-01021,vivo,nakuru,TRK-0718,PMS,28000,2026-06-11 08:00:48,2026-06-11 09:36:48,2026-06-11 09:21:48,2026-06-11 10:21:48,COMPLETED,
LO-KOTPS1-01037,totalenergies,mombasa,TRK-0297,AGO,34000,2026-06-11 07:44:22,2026-06-11 09:20:22,2026-06-11 09:05:22,2026-06-11 10:05:22,COMPLETED,
LO-PS10-01055,lakeoil,nairobi,TRK-0298,AGO,28000,2026-06-11 09:41:55,2026-06-11 12:05:55,2026-06-11 11:50:55,2026-06-11 12:50:55,COMPLETED,
LO-KOTPS1-01038,vivo,mombasa,TRK-0289,PMS,38000,2026-06-11 13:36:17,2026-06-11 15:15:17,2026-06-11 15:00:17,2026-06-11 16:00:17,COMPLETED,
LO-KOTPS1-01039,rubis,mombasa,TRK-0046,AGO,38000,2026-06-11 12:28:03,2026-06-11 13:30:03,2026-06-11 13:15:03,2026-06-11 14:15:03,COMPLETED,
LO-PS10-01056,hass,nairobi,TRK-0187,AGO,36000,2026-06-11 11:13:27,2026-06-11 12:27:27,2026-06-11 12:12:27,2026-06-11 13:12:27,COMPLETED,
LO-PS10-01057,vivo,nairobi,TRK-0172,AGO,40000,2026-06-11 07:25:46,2026-06-11 09:35:46,2026-06-11 09:20:46,2026-06-11 10:20:46,COMPLETED,
LO-PS10-01058,rubis,nairobi,TRK-0272,PMS,34000,2026-06-11 16:53:42,2026-06-11 18:35:42,2026-06-11 18:20:42,2026-06-11 19:20:42,COMPLETED,
LO-PS10-01059,petrocity,nairobi,TRK-0649,AGO,32000,2026-06-11 06:23:50,2026-06-11 08:26:50,2026-06-11 08:11:50,2026-06-11 09:11:50,COMPLETED,
LO-PS28-01011,hass,kisumu,TRK-0260,AGO,40000,2026-06-11 12:31:06,2026-06-11 13:32:06,2026-06-11 13:17:06,2026-06-11 14:17:06,COMPLETED,
